year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 빙그레, 24, 57, 88, 77, 7, 19, 3, 0, 0, 22, 5, 2, 1, 1, 1, 15, 5, 2, 0, 0.247, 0.326, 0.286, 0.611, 0.287, 71.6
1992, 빙그레, 25, 93, 236, 194, 36, 52, 6, 3, 4, 76, 30, 8, 2, 2, 0, 45, 7, 1, 1, 0.268, 0.392, 0.392, 0.783, 0.368, 120.5
1993, 빙그레, 26, 113, 391, 349, 35, 75, 16, 1, 2, 99, 26, 15, 3, 3, 1, 84, 8, 7, 1, 0.215, 0.284, 0.284, 0.568, 0.269, 69.1
1996, 삼성, 29, 13, 28, 27, 0, 3, 1, 0, 0, 4, 0, 1, 1, 1, 0, 7, 0, 0, 0, 0.111, 0.143, 0.148, 0.291, 0.141, -20.3
1997, 삼성, 30, 67, 201, 179, 23, 46, 6, 0, 3, 61, 26, 14, 4, 1, 1, 35, 2, 6, 1, 0.257, 0.313, 0.341, 0.654, 0.293, 79.3
1998, 삼성, 31, 70, 167, 143, 9, 32, 5, 2, 1, 44, 16, 6, 7, 2, 1, 32, 5, 5, 2, 0.224, 0.303, 0.308, 0.610, 0.272, 66.1
1999, 쌍방울, 32, 59, 199, 178, 25, 43, 7, 1, 4, 64, 23, 12, 4, 0, 0, 43, 6, 2, 0, 0.242, 0.315, 0.360, 0.674, 0.303, 72.1
2000, SK, 33, 97, 238, 212, 31, 57, 10, 0, 5, 82, 32, 7, 4, 4, 0, 52, 6, 2, 1, 0.269, 0.339, 0.387, 0.726, 0.329, 92.1
2001, SK, 34, 103, 221, 192, 30, 45, 9, 0, 1, 57, 19, 12, 6, 4, 0, 46, 1, 10, 2, 0.234, 0.294, 0.297, 0.591, 0.268, 46.0
2002, SK, 35, 74, 116, 107, 14, 23, 8, 0, 1, 34, 10, 6, 0, 1, 1, 32, 1, 5, 1, 0.215, 0.234, 0.318, 0.552, 0.230, 30.9
