year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1982, 삼성, 22, 72, 307, 258, 48, 73, 15, 1, 4, 102, 30, 14, 1, 3, 1, 33, 3, 4, 4, 0.283, 0.374, 0.395, 0.770, 0.351, 113.0
1983, 삼성, 23, 82, 261, 227, 27, 46, 8, 1, 4, 68, 31, 1, 1, 2, 0, 31, 3, 9, 4, 0.203, 0.266, 0.300, 0.565, 0.257, 58.6
1984, 삼성, 24, 77, 267, 231, 31, 66, 10, 2, 7, 101, 34, 4, 4, 6, 0, 23, 5, 11, 0, 0.286, 0.356, 0.437, 0.793, 0.355, 125.0
1985, 삼성, 25, 30, 76, 65, 6, 13, 2, 0, 1, 18, 6, 1, 0, 0, 0, 12, 2, 4, 0, 0.200, 0.278, 0.277, 0.555, 0.255, 50.3
1986, 삼성, 26, 76, 244, 211, 23, 54, 11, 1, 4, 79, 24, 4, 2, 1, 0, 23, 5, 5, 1, 0.256, 0.339, 0.374, 0.713, 0.334, 114.5
1987, 삼성, 27, 76, 272, 242, 34, 79, 13, 2, 6, 114, 40, 5, 3, 3, 0, 26, 7, 2, 5, 0.326, 0.378, 0.471, 0.849, 0.393, 145.5
1988, 삼성, 28, 82, 258, 229, 27, 59, 7, 0, 5, 81, 35, 5, 4, 1, 0, 29, 9, 0, 3, 0.258, 0.330, 0.354, 0.683, 0.322, 96.9
1989, 롯데, 29, 92, 305, 247, 18, 48, 5, 0, 3, 62, 21, 4, 3, 1, 1, 39, 7, 7, 2, 0.194, 0.326, 0.251, 0.577, 0.286, 71.8
1990, 롯데, 30, 35, 87, 71, 5, 12, 0, 0, 0, 12, 2, 0, 0, 1, 0, 14, 0, 4, 0, 0.169, 0.289, 0.169, 0.458, 0.234, 34.6
1991, 롯데, 31, 101, 333, 274, 30, 64, 6, 0, 2, 76, 25, 3, 2, 4, 2, 33, 6, 13, 3, 0.234, 0.332, 0.277, 0.610, 0.285, 70.9
