year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, 한화, 19, 46, 31, 30, 3, 4, 1, 0, 0, 5, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0.133, 0.161, 0.167, 0.328, 0.159, -16.7
2009, 한화, 20, 79, 191, 175, 20, 46, 9, 1, 2, 63, 14, 3, 2, 1, 0, 43, 7, 7, 0, 0.263, 0.299, 0.360, 0.659, 0.290, 60.0
2010, 한화, 21, 108, 240, 221, 24, 44, 5, 0, 0, 49, 14, 7, 2, 2, 0, 57, 7, 5, 0, 0.199, 0.247, 0.222, 0.469, 0.223, 21.6
2011, 한화, 22, 68, 120, 107, 15, 22, 3, 0, 0, 25, 7, 3, 3, 4, 0, 21, 3, 3, 1, 0.206, 0.265, 0.234, 0.499, 0.240, 35.8
2012, 한화, 23, 110, 446, 399, 33, 105, 18, 3, 3, 138, 41, 14, 9, 7, 0, 65, 7, 13, 2, 0.263, 0.316, 0.346, 0.662, 0.306, 87.7
2013, 한화, 24, 92, 296, 256, 31, 59, 8, 2, 2, 77, 26, 5, 2, 10, 0, 49, 12, 4, 3, 0.230, 0.315, 0.301, 0.616, 0.296, 68.8
2016, 한화, 27, 57, 53, 43, 6, 7, 0, 0, 0, 7, 3, 0, 0, 2, 0, 8, 0, 3, 0, 0.163, 0.280, 0.163, 0.443, 0.224, 11.5
2017, 한화, 28, 65, 209, 184, 23, 57, 11, 0, 2, 74, 21, 3, 5, 4, 0, 22, 5, 4, 2, 0.310, 0.371, 0.402, 0.773, 0.346, 99.0
2018, 한화, 29, 56, 148, 133, 14, 30, 4, 0, 1, 37, 9, 3, 0, 5, 0, 33, 2, 3, 0, 0.226, 0.290, 0.278, 0.568, 0.261, 42.0
2019, 한화, 30, 122, 453, 392, 37, 88, 16, 0, 3, 113, 36, 7, 2, 10, 0, 72, 8, 10, 3, 0.224, 0.307, 0.288, 0.595, 0.281, 66.7
2020, 한화, 31, 93, 222, 197, 17, 46, 4, 0, 2, 56, 17, 0, 1, 3, 0, 39, 10, 6, 0, 0.234, 0.301, 0.284, 0.585, 0.274, 55.6
2021, 삼성, 32, 23, 46, 42, 5, 9, 0, 0, 0, 9, 2, 0, 0, 1, 0, 8, 2, 0, 0, 0.214, 0.283, 0.214, 0.497, 0.252, 41.8
2022, 삼성, 33, 13, 50, 41, 3, 11, 0, 0, 1, 14, 6, 1, 1, 0, 0, 5, 0, 4, 1, 0.268, 0.326, 0.341, 0.668, 0.289, 79.5
