year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, 현대, 19, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
2009, 히어로즈, 23, 43, 74, 66, 4, 13, 5, 0, 0, 18, 4, 0, 0, 0, 1, 15, 1, 1, 1, 0.197, 0.260, 0.273, 0.533, 0.240, 26.0
2010, 넥센, 24, 39, 67, 60, 1, 8, 4, 0, 1, 15, 9, 0, 0, 1, 0, 16, 6, 2, 0, 0.133, 0.200, 0.250, 0.450, 0.205, 7.7
2011, 넥센, 25, 46, 118, 100, 13, 23, 5, 0, 1, 31, 11, 2, 0, 1, 1, 24, 2, 1, 1, 0.230, 0.333, 0.310, 0.643, 0.307, 80.7
2012, 두산|넥센, 26, 87, 228, 212, 16, 43, 8, 0, 8, 75, 25, 0, 0, 0, 0, 58, 3, 2, 4, 0.203, 0.235, 0.354, 0.588, 0.268, 60.9
, 두산, 26, 33, 82, 77, 7, 20, 5, 0, 4, 37, 8, 0, 0, 0, 0, 19, 0, 1, 1, 0.260, 0.284, 0.481, 0.765, 0.343, 113.2
, 넥센, 26, 54, 146, 135, 9, 23, 3, 0, 4, 38, 17, 0, 0, 0, 0, 39, 3, 1, 3, 0.170, 0.207, 0.281, 0.488, 0.226, 31.6
2013, 두산, 27, 55, 144, 117, 16, 35, 12, 0, 3, 56, 28, 0, 1, 3, 2, 28, 0, 1, 3, 0.299, 0.406, 0.479, 0.884, 0.400, 140.0
2014, 두산, 28, 75, 155, 132, 10, 32, 7, 0, 3, 48, 18, 1, 1, 1, 0, 39, 1, 0, 2, 0.242, 0.342, 0.364, 0.706, 0.328, 85.7
2015, 두산, 29, 66, 213, 180, 33, 52, 11, 1, 14, 107, 36, 0, 0, 2, 2, 49, 5, 1, 2, 0.289, 0.387, 0.594, 0.981, 0.414, 158.4
2016, 두산, 30, 105, 455, 380, 69, 120, 20, 2, 27, 225, 92, 1, 0, 2, 2, 73, 5, 2, 7, 0.316, 0.411, 0.592, 1.003, 0.430, 154.4
2017, 두산, 31, 128, 466, 412, 62, 126, 27, 0, 26, 231, 89, 1, 1, 5, 0, 80, 5, 1, 3, 0.306, 0.379, 0.561, 0.939, 0.403, 146.3
2018, 두산, 32, 123, 477, 401, 69, 112, 19, 2, 27, 216, 80, 1, 1, 6, 2, 121, 3, 0, 10, 0.279, 0.373, 0.539, 0.912, 0.384, 130.4
2019, 두산, 33, 130, 529, 467, 76, 137, 29, 1, 21, 231, 102, 2, 1, 3, 1, 99, 5, 0, 4, 0.293, 0.369, 0.495, 0.863, 0.390, 145.5
2020, 두산, 34, 127, 534, 471, 62, 147, 32, 0, 16, 227, 89, 2, 1, 0, 1, 92, 12, 0, 2, 0.312, 0.390, 0.482, 0.872, 0.394, 138.8
2021, 삼성, 35, 120, 484, 418, 64, 119, 20, 0, 25, 214, 97, 1, 0, 0, 8, 106, 5, 0, 8, 0.285, 0.366, 0.512, 0.878, 0.390, 129.2
2022, 삼성, 36, 32, 132, 119, 14, 28, 11, 0, 7, 60, 25, 0, 0, 0, 2, 34, 2, 0, 1, 0.235, 0.303, 0.504, 0.807, 0.357, 123.4
