year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 삼성, 24, 2, 0, 25, 14, 8, 1, 0, 170.2, 83, 73, 727, 152, , 6, 87, 1, 6, 102, 1, 3, 3.85, 3.48, 1.40, 98.8
1990, 삼성, 25, 6, 0, 20, 9, 8, 1, 0, 147.0, 80, 74, 643, 137, , 16, 90, 0, 3, 78, 1, 3, 4.53, 4.82, 1.54, 87.2
1991, 삼성, 26, 3, 1, 14, 11, 4, 4, 0, 127.1, 49, 45, 533, 97, , 14, 74, 2, 3, 84, 1, 2, 3.18, 4.57, 1.34, 127.7
1992, 삼성, 27, 3, 1, 15, 8, 3, 0, 0, 92.1, 50, 44, 411, 81, , 12, 61, 0, 4, 58, 0, 2, 4.29, 5.33, 1.54, 102.3
1993, 삼성, 28, 4, 1, 14, 6, 5, 2, 0, 103.2, 48, 41, 435, 90, , 14, 48, 1, 2, 68, 0, 0, 3.56, 4.33, 1.33, 93.5
1994, 삼성|쌍방울, 29, 0, 0, 1, 2, 5, 4, 0, 38.0, 19, 18, 162, 42, , 4, 12, 3, 0, 19, 0, 2, 4.26, 3.89, 1.42, 87.9
, 쌍방울, 29, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, , , , 
, 삼성, 29, 0, 0, 1, 2, 5, 4, 0, 38.0, 19, 18, 162, 42, , 4, 12, 3, 0, 19, 0, 2, 4.26, 3.89, 1.42, 90.2
1995, 쌍방울, 30, 0, 0, 1, 1, 4, 0, 0, 58.0, 42, 41, 273, 71, , 7, 35, 2, 2, 34, 0, 4, 6.36, 5.02, 1.83, 58.7
1996, 쌍방울, 31, 0, 0, 2, 1, 1, 0, 0, 6.2, 6, 6, 30, 6, , 0, 4, 0, 0, 4, 0, 0, 8.10, 3.39, 1.50, 45.5
