year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, SK, 26, 7, 6, 6, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.167, 0.167, 0.167, 0.333, 0.159, -21.9
2009, SK, 27, 28, 39, 33, 3, 13, 2, 0, 1, 18, 6, 3, 0, 0, 0, 8, 1, 2, 1, 0.394, 0.432, 0.545, 0.978, 0.411, 141.8
2010, SK|LG, 28, 46, 57, 51, 4, 15, 0, 0, 0, 15, 9, 1, 0, 2, 0, 16, 0, 1, 1, 0.294, 0.339, 0.294, 0.633, 0.301, 72.4
, SK, 28, 25, 29, 25, 2, 10, 0, 0, 0, 10, 6, 1, 0, 2, 0, 7, 0, 0, 1, 0.400, 0.448, 0.400, 0.848, 0.403, 141.3
, LG, 28, 21, 28, 26, 2, 5, 0, 0, 0, 5, 3, 0, 0, 0, 0, 9, 0, 1, 0, 0.192, 0.222, 0.192, 0.415, 0.195, 1.0
2011, LG, 29, 67, 91, 77, 8, 17, 3, 0, 5, 35, 18, 0, 0, 0, 1, 22, 4, 0, 1, 0.221, 0.330, 0.455, 0.784, 0.353, 112.4
2012, LG, 30, 75, 196, 171, 17, 51, 7, 0, 2, 64, 19, 3, 2, 6, 1, 35, 9, 1, 2, 0.298, 0.374, 0.374, 0.749, 0.355, 121.7
2013, LG, 31, 89, 228, 186, 20, 38, 8, 1, 1, 51, 30, 2, 3, 6, 0, 32, 6, 9, 4, 0.204, 0.306, 0.274, 0.580, 0.275, 53.4
2014, LG, 32, 27, 74, 68, 4, 15, 4, 0, 0, 19, 2, 0, 0, 1, 0, 15, 1, 2, 1, 0.221, 0.250, 0.279, 0.529, 0.239, 23.1
2015, kt, 33, 74, 159, 148, 17, 39, 4, 0, 9, 70, 28, 0, 1, 1, 0, 39, 5, 2, 2, 0.264, 0.293, 0.473, 0.766, 0.326, 85.2
2016, kt, 34, 66, 149, 126, 14, 30, 6, 0, 6, 54, 16, 1, 1, 3, 1, 24, 7, 0, 0, 0.238, 0.356, 0.429, 0.784, 0.355, 96.0
2017, kt, 35, 22, 43, 39, 6, 9, 1, 0, 2, 16, 6, 0, 0, 0, 0, 7, 1, 0, 0, 0.231, 0.302, 0.410, 0.713, 0.315, 76.5
