year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1998, 쌍방울, 23, 94, 179, 163, 25, 37, 1, 4, 0, 46, 11, 6, 6, 1, 0, 27, 1, 6, 1, 0.227, 0.266, 0.282, 0.548, 0.244, 45.0
1999, 쌍방울, 24, 108, 304, 260, 35, 69, 9, 9, 1, 99, 21, 15, 5, 3, 0, 63, 0, 15, 4, 0.265, 0.325, 0.381, 0.706, 0.301, 70.8
2000, SK, 25, 125, 381, 344, 43, 95, 14, 3, 2, 121, 30, 7, 2, 0, 0, 63, 3, 17, 2, 0.276, 0.310, 0.352, 0.662, 0.289, 65.5
2001, SK, 26, 109, 356, 300, 40, 83, 10, 2, 10, 127, 38, 11, 4, 0, 1, 57, 4, 22, 3, 0.277, 0.341, 0.423, 0.765, 0.325, 83.9
2002, SK|롯데, 27, 32, 46, 40, 3, 5, 1, 1, 0, 8, 3, 2, 0, 0, 1, 12, 0, 0, 0, 0.125, 0.239, 0.200, 0.439, 0.203, 11.9
, SK, 27, 17, 18, 15, 2, 3, 1, 1, 0, 6, 3, 2, 0, 0, 1, 6, 0, 0, 0, 0.200, 0.333, 0.400, 0.733, 0.306, 84.1
, 롯데, 27, 15, 28, 25, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0.080, 0.179, 0.080, 0.259, 0.141, -31.9
2003, 롯데, 28, 63, 192, 167, 18, 44, 7, 1, 1, 56, 13, 1, 3, 2, 1, 32, 0, 6, 2, 0.263, 0.328, 0.335, 0.663, 0.298, 71.6
2004, 롯데|두산, 29, 28, 101, 92, 13, 23, 3, 0, 2, 32, 15, 4, 5, 0, 0, 20, 0, 2, 2, 0.250, 0.283, 0.348, 0.631, 0.284, 60.9
, 롯데, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
, 두산, 29, 28, 101, 92, 13, 23, 3, 0, 2, 32, 15, 4, 5, 0, 0, 20, 0, 2, 2, 0.250, 0.283, 0.348, 0.631, 0.284, 60.9
2007, 두산, 32, 74, 227, 202, 26, 52, 6, 1, 3, 69, 23, 5, 4, 0, 2, 31, 2, 3, 2, 0.257, 0.321, 0.342, 0.663, 0.306, 83.1
2008, 한화, 33, 55, 169, 143, 25, 30, 7, 1, 0, 39, 9, 2, 0, 0, 0, 31, 2, 3, 0, 0.210, 0.319, 0.273, 0.592, 0.288, 69.2
2009, 한화|SK, 34, 26, 64, 55, 6, 15, 5, 0, 0, 20, 7, 0, 0, 0, 0, 14, 2, 3, 0, 0.273, 0.344, 0.364, 0.708, 0.314, 76.3
, 한화, 34, 22, 60, 52, 6, 14, 5, 0, 0, 19, 7, 0, 0, 0, 0, 12, 2, 2, 0, 0.269, 0.345, 0.365, 0.710, 0.320, 79.9
, SK, 34, 4, 4, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0.333, 0.333, 0.333, 0.667, 0.234, 20.4
