year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 해태, 19, 5, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.500, 0.500, 0.500, 1.000, 0.483, 207.8
1990, 해태, 20, 6, 9, 9, 1, 2, 2, 0, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0.222, 0.222, 0.444, 0.667, 0.300, 78.7
1991, 해태, 21, 14, 28, 27, 3, 4, 1, 0, 0, 5, 3, 0, 0, 0, 0, 2, 0, 1, 0, 0.148, 0.148, 0.185, 0.333, 0.149, -22.3
1992, 해태, 22, 38, 61, 57, 7, 17, 5, 0, 1, 25, 6, 1, 0, 0, 0, 4, 2, 1, 0, 0.298, 0.333, 0.439, 0.772, 0.346, 106.1
1993, 해태, 23, 20, 23, 22, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.182, 0.217, 0.182, 0.399, 0.196, 16.9
1994, 해태, 24, 78, 224, 205, 27, 67, 10, 1, 4, 91, 25, 1, 0, 4, 0, 12, 7, 5, 2, 0.327, 0.361, 0.444, 0.805, 0.363, 130.4
1995, 해태, 25, 86, 198, 176, 5, 38, 8, 1, 1, 51, 24, 0, 1, 4, 1, 18, 4, 3, 0, 0.216, 0.292, 0.290, 0.582, 0.271, 71.0
1996, 해태, 26, 56, 90, 83, 3, 17, 3, 0, 0, 20, 10, 0, 1, 2, 1, 9, 5, 0, 1, 0.205, 0.256, 0.241, 0.497, 0.234, 42.2
1997, 해태, 27, 27, 41, 38, 2, 6, 1, 0, 0, 7, 7, 0, 0, 0, 0, 5, 2, 0, 0, 0.158, 0.220, 0.184, 0.404, 0.198, 14.2
1998, 해태, 28, 40, 65, 58, 6, 8, 1, 0, 1, 12, 5, 0, 1, 0, 1, 5, 3, 0, 1, 0.138, 0.215, 0.207, 0.422, 0.194, 11.1
