year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 삼성, 19, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -117.0
1997, 삼성, 20, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.333, 0.000, 0.333, 0.237, 41.7
1998, 삼성, 21, 15, 22, 20, 1, 7, 3, 0, 1, 13, 5, 0, 0, 0, 0, 3, 0, 0, 1, 0.350, 0.364, 0.650, 1.014, 0.427, 171.3
1999, 쌍방울, 22, 18, 31, 28, 2, 6, 1, 0, 0, 7, 1, 0, 0, 0, 0, 11, 0, 1, 0, 0.214, 0.267, 0.250, 0.517, 0.236, 27.3
2000, 삼성, 23, 67, 146, 136, 19, 32, 5, 1, 2, 45, 16, 2, 1, 0, 0, 36, 2, 3, 0, 0.235, 0.273, 0.331, 0.604, 0.269, 52.8
2001, 롯데, 24, 109, 335, 292, 38, 71, 18, 2, 4, 105, 35, 6, 4, 0, 0, 57, 3, 8, 4, 0.243, 0.312, 0.360, 0.672, 0.303, 69.0
2002, 롯데, 25, 69, 135, 124, 13, 27, 7, 0, 1, 37, 7, 2, 2, 0, 0, 30, 2, 0, 1, 0.218, 0.274, 0.298, 0.573, 0.262, 53.5
2003, 롯데, 26, 59, 154, 135, 8, 35, 10, 0, 3, 54, 18, 0, 1, 2, 0, 32, 2, 3, 2, 0.259, 0.325, 0.400, 0.725, 0.322, 88.8
2004, 롯데, 27, 54, 70, 56, 3, 10, 0, 0, 0, 10, 5, 1, 0, 0, 2, 14, 1, 0, 0, 0.179, 0.343, 0.179, 0.521, 0.267, 50.4
2005, 롯데, 28, 13, 12, 11, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0.091, 0.167, 0.091, 0.258, 0.139, -36.9
