year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2006, LG, 23, 7, 8, 8, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.125, 0.125, 0.125, 0.250, 0.119, -46.8
2008, LG, 25, 33, 86, 78, 7, 18, 6, 1, 1, 29, 9, 0, 0, 2, 0, 23, 3, 1, 0, 0.231, 0.294, 0.372, 0.666, 0.308, 81.5
2009, LG, 26, 16, 21, 17, 0, 3, 2, 0, 0, 5, 4, 0, 0, 0, 0, 10, 0, 0, 0, 0.176, 0.333, 0.294, 0.628, 0.305, 69.6
2010, LG, 27, 103, 362, 307, 57, 92, 17, 1, 12, 147, 53, 5, 3, 3, 1, 58, 4, 5, 3, 0.300, 0.389, 0.479, 0.868, 0.388, 130.7
2011, LG, 28, 33, 112, 88, 13, 22, 3, 0, 4, 37, 14, 1, 1, 1, 0, 32, 2, 1, 2, 0.250, 0.387, 0.420, 0.808, 0.375, 127.4
2012, LG, 29, 69, 270, 223, 23, 71, 17, 0, 2, 94, 21, 8, 3, 3, 0, 54, 2, 1, 0, 0.318, 0.435, 0.422, 0.857, 0.408, 158.9
2013, LG, 30, 73, 202, 172, 24, 50, 6, 1, 2, 64, 26, 1, 1, 3, 0, 47, 0, 1, 0, 0.291, 0.393, 0.372, 0.765, 0.368, 118.2
2014, LG, 31, 116, 450, 360, 66, 110, 28, 3, 16, 192, 87, 5, 10, 5, 2, 78, 7, 3, 8, 0.306, 0.423, 0.533, 0.956, 0.417, 148.1
2015, LG, 32, 70, 277, 230, 42, 56, 9, 1, 12, 103, 35, 2, 1, 3, 2, 83, 4, 1, 0, 0.243, 0.370, 0.448, 0.817, 0.365, 119.0
2016, LG, 33, 103, 350, 290, 43, 79, 12, 2, 7, 116, 37, 8, 5, 10, 1, 81, 4, 0, 3, 0.272, 0.389, 0.400, 0.789, 0.368, 108.1
2017, LG, 34, 19, 48, 44, 5, 9, 0, 1, 0, 11, 5, 0, 0, 0, 0, 14, 0, 0, 0, 0.205, 0.271, 0.250, 0.521, 0.248, 31.7
2018, 롯데, 35, 103, 257, 198, 31, 54, 11, 1, 10, 97, 39, 0, 0, 7, 1, 58, 5, 0, 2, 0.273, 0.432, 0.490, 0.922, 0.406, 137.0
2019, 롯데, 36, 8, 22, 19, 1, 3, 2, 0, 0, 5, 0, 0, 0, 1, 0, 7, 1, 0, 0, 0.158, 0.273, 0.263, 0.536, 0.262, 51.9
2020, 롯데, 37, 53, 194, 164, 28, 45, 4, 0, 9, 76, 32, 0, 0, 1, 0, 55, 5, 0, 1, 0.274, 0.381, 0.463, 0.845, 0.383, 123.9
2021, 롯데, 38, 29, 43, 34, 4, 8, 0, 0, 0, 8, 4, 0, 0, 1, 0, 14, 2, 0, 0, 0.235, 0.395, 0.235, 0.631, 0.333, 94.4
