year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 삼성, 19, 0, 0, 1, 0, 0, 0, 0, 23.0, 15, 12, 99, 21, , 1, 15, 0, 0, 6, 1, 1, 4.70, 4.57, 1.57, 84.1
1993, 삼성|빙그레, 22, 0, 0, 2, 0, 2, 2, 0, 46.2, 26, 25, 198, 50, , 5, 14, 1, 2, 22, 0, 1, 4.82, 3.88, 1.37, 68.9
, 삼성, 22, 0, 0, 1, 0, 1, 1, 0, 7.2, 8, 8, 37, 12, , 2, 1, 0, 1, 6, 0, 0, 9.39, 5.07, 1.70, 35.4
, 빙그레, 22, 0, 0, 1, 0, 1, 1, 0, 39.0, 18, 17, 161, 38, , 3, 13, 0, 1, 16, 0, 0, 3.92, 3.72, 1.31, 84.7
1994, 한화, 23, 1, 0, 10, 5, 8, 5, 0, 128.0, 60, 57, 540, 127, , 14, 31, 2, 3, 77, 0, 2, 4.01, 3.78, 1.23, 94.6
1995, 한화, 24, 4, 1, 12, 7, 8, 5, 0, 134.1, 60, 56, 562, 129, , 12, 37, 3, 3, 112, 0, 2, 3.75, 3.13, 1.24, 98.6
1996, 한화, 25, 3, 2, 27, 9, 13, 2, 0, 174.2, 92, 77, 734, 176, , 10, 40, 4, 6, 156, 0, 6, 3.97, 2.47, 1.24, 91.9
1997, 한화, 26, 1, 0, 18, 6, 10, 0, 0, 138.0, 76, 66, 595, 150, , 19, 36, 9, 5, 101, 0, 6, 4.30, 3.90, 1.35, 94.0
1998, 한화, 27, 5, 2, 26, 9, 17, 2, 0, 174.2, 104, 94, 754, 198, , 23, 38, 2, 3, 145, 0, 9, 4.84, 3.62, 1.35, 84.5
1999, 한화, 28, 2, 0, 26, 14, 8, 2, 0, 172.0, 86, 82, 707, 161, , 26, 29, 0, 8, 140, 1, 7, 4.29, 4.25, 1.11, 118.9
2000, 한화, 29, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 5, 2, , 0, 0, 0, 0, 1, 0, 0, 0.00, 1.16, 2.00, 
2001, 한화, 30, 0, 0, 12, 7, 8, 5, 3, 101.0, 69, 55, 456, 125, , 12, 29, 6, 5, 69, 0, 2, 4.90, 4.12, 1.53, 99.7
2002, 한화, 31, 0, 0, 6, 0, 7, 3, 2, 62.0, 43, 42, 269, 70, , 13, 12, 1, 4, 47, 0, 1, 6.10, 4.94, 1.32, 71.3
2003, 한화, 32, 1, 1, 29, 15, 7, 1, 1, 185.1, 78, 73, 774, 203, , 18, 29, 2, 4, 118, 1, 2, 3.54, 3.25, 1.25, 122.5
2004, 롯데, 33, 0, 0, 18, 3, 9, 0, 0, 87.2, 58, 49, 391, 112, , 16, 16, 0, 7, 51, 0, 2, 5.03, 4.95, 1.46, 84.9
2005, 롯데, 34, 0, 0, 17, 6, 7, 0, 0, 101.1, 35, 34, 403, 88, , 8, 16, 2, 7, 69, 0, 0, 3.02, 3.30, 1.03, 136.4
2006, 롯데, 35, 1, 0, 23, 12, 8, 0, 0, 138.2, 63, 50, 566, 132, , 17, 23, 0, 5, 50, 0, 2, 3.25, 4.18, 1.12, 108.0
2007, 롯데, 36, 0, 0, 8, 1, 4, 0, 0, 37.2, 30, 28, 178, 56, , 4, 13, 1, 1, 14, 1, 3, 6.69, 4.50, 1.83, 57.2
2008, 삼성, 37, 0, 0, 21, 6, 6, 0, 1, 124.2, 79, 74, 544, 152, , 8, 29, 0, 9, 53, 0, 6, 5.34, 4.05, 1.45, 77.7
