year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 한화, 23, 114, 417, 353, 59, 95, 21, 3, 8, 146, 39, 12, 9, 2, 1, 63, 9, 11, 2, 0.269, 0.360, 0.414, 0.773, 0.349, 122.2
1997, 한화, 24, 31, 117, 109, 12, 22, 6, 0, 3, 37, 12, 2, 3, 0, 0, 20, 7, 1, 1, 0.202, 0.241, 0.339, 0.581, 0.260, 56.4
1998, 한화, 25, 97, 342, 297, 34, 81, 19, 1, 9, 129, 31, 6, 9, 0, 3, 50, 9, 6, 1, 0.273, 0.354, 0.434, 0.789, 0.346, 116.0
1999, 한화, 26, 128, 482, 425, 83, 142, 33, 4, 13, 222, 49, 16, 7, 9, 2, 69, 6, 3, 5, 0.334, 0.399, 0.522, 0.921, 0.399, 135.1
2000, 한화, 27, 128, 542, 478, 91, 152, 36, 5, 25, 273, 64, 7, 12, 8, 5, 91, 5, 1, 3, 0.318, 0.392, 0.571, 0.963, 0.415, 148.2
2001, 한화, 28, 126, 448, 381, 72, 109, 25, 3, 15, 185, 65, 10, 3, 0, 4, 70, 8, 4, 1, 0.286, 0.385, 0.486, 0.871, 0.386, 123.6
2002, 한화, 29, 133, 564, 476, 96, 150, 26, 1, 24, 250, 52, 13, 12, 8, 6, 103, 14, 7, 0, 0.315, 0.415, 0.525, 0.940, 0.406, 153.0
2003, 한화, 30, 133, 590, 498, 90, 148, 28, 4, 16, 232, 71, 18, 9, 8, 7, 71, 7, 3, 3, 0.297, 0.399, 0.466, 0.865, 0.386, 133.1
2004, 한화, 31, 131, 572, 483, 94, 154, 31, 3, 13, 230, 60, 20, 12, 8, 5, 66, 13, 6, 2, 0.319, 0.415, 0.476, 0.891, 0.403, 142.4
2007, 한화, 34, 97, 337, 294, 31, 70, 14, 4, 0, 92, 28, 4, 2, 0, 1, 36, 10, 3, 3, 0.238, 0.320, 0.313, 0.633, 0.300, 79.2
2008, 한화, 35, 89, 305, 271, 41, 78, 21, 2, 2, 109, 27, 2, 1, 1, 0, 40, 9, 2, 5, 0.288, 0.347, 0.402, 0.749, 0.347, 108.0
2009, 한화, 36, 93, 293, 260, 32, 72, 12, 3, 7, 111, 35, 2, 1, 0, 0, 42, 12, 3, 2, 0.277, 0.345, 0.427, 0.772, 0.344, 96.1
2010, 한화, 37, 12, 21, 21, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0.095, 0.095, 0.095, 0.191, 0.090, -66.7
