year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, 롯데, 19, 16, 10, 9, 6, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0.111, 0.200, 0.111, 0.311, 0.171, -18.9
2002, 롯데, 20, 49, 174, 154, 15, 29, 5, 1, 1, 39, 10, 2, 2, 12, 0, 47, 1, 1, 0, 0.188, 0.278, 0.253, 0.531, 0.252, 46.5
2003, 롯데, 21, 23, 72, 56, 6, 12, 4, 0, 0, 16, 5, 3, 1, 10, 0, 19, 0, 3, 1, 0.214, 0.348, 0.286, 0.634, 0.299, 72.7
2006, 롯데, 24, 89, 126, 112, 12, 21, 5, 0, 2, 32, 12, 7, 4, 4, 0, 42, 0, 4, 1, 0.188, 0.240, 0.286, 0.525, 0.240, 40.9
2007, 롯데, 25, 75, 306, 269, 31, 81, 4, 5, 1, 98, 23, 11, 8, 7, 0, 57, 1, 10, 0, 0.301, 0.365, 0.364, 0.729, 0.337, 104.7
2008, 롯데, 26, 87, 172, 145, 27, 31, 1, 3, 1, 41, 13, 4, 3, 3, 0, 31, 6, 13, 1, 0.214, 0.277, 0.283, 0.560, 0.249, 40.1
2009, 롯데, 27, 102, 194, 162, 25, 42, 7, 0, 0, 49, 15, 12, 3, 8, 0, 37, 3, 9, 1, 0.259, 0.346, 0.302, 0.648, 0.299, 65.4
2010, 롯데, 28, 92, 90, 82, 13, 20, 4, 1, 0, 26, 9, 2, 1, 4, 0, 16, 0, 2, 0, 0.244, 0.296, 0.317, 0.613, 0.283, 61.1
2011, 롯데, 29, 70, 90, 75, 12, 9, 1, 1, 0, 12, 3, 3, 1, 2, 0, 26, 0, 2, 1, 0.120, 0.239, 0.160, 0.399, 0.206, 12.8
2012, 롯데, 30, 65, 101, 84, 12, 18, 2, 0, 1, 23, 5, 1, 2, 0, 0, 21, 0, 5, 0, 0.214, 0.313, 0.274, 0.586, 0.276, 65.9
2013, 롯데, 31, 60, 251, 217, 30, 55, 5, 0, 0, 60, 16, 5, 5, 8, 0, 47, 2, 9, 2, 0.253, 0.322, 0.277, 0.599, 0.285, 61.9
2014, 롯데, 32, 44, 103, 80, 14, 19, 0, 0, 0, 19, 10, 0, 3, 2, 0, 22, 1, 6, 1, 0.238, 0.361, 0.238, 0.598, 0.289, 57.8
2015, 롯데, 33, 75, 174, 141, 18, 32, 4, 0, 4, 48, 18, 2, 0, 6, 0, 43, 2, 17, 0, 0.227, 0.306, 0.340, 0.646, 0.271, 48.5
2016, 롯데, 34, 52, 98, 83, 19, 16, 5, 0, 1, 24, 8, 2, 2, 4, 0, 16, 3, 4, 0, 0.193, 0.287, 0.289, 0.576, 0.266, 38.7
2017, 롯데, 35, 104, 215, 185, 35, 47, 5, 1, 4, 66, 21, 2, 4, 10, 2, 38, 6, 5, 0, 0.254, 0.343, 0.357, 0.700, 0.314, 76.4
