year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 태평양, 19, 11, 13, 12, 1, 3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0.250, 0.308, 0.250, 0.558, 0.274, 57.5
1993, 태평양, 20, 66, 201, 180, 16, 48, 14, 0, 4, 74, 17, 0, 2, 1, 0, 44, 3, 1, 2, 0.267, 0.330, 0.411, 0.741, 0.346, 124.9
1994, 태평양, 21, 23, 50, 41, 7, 6, 0, 0, 2, 12, 6, 0, 0, 2, 0, 21, 0, 0, 0, 0.146, 0.300, 0.293, 0.593, 0.290, 80.5
1995, 태평양, 22, 5, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.140, -20.5
1997, 현대, 24, 37, 72, 66, 10, 14, 3, 0, 7, 38, 15, 0, 0, 0, 0, 30, 2, 0, 1, 0.212, 0.264, 0.576, 0.840, 0.357, 123.0
1998, 현대, 25, 39, 48, 36, 2, 7, 0, 0, 2, 13, 5, 0, 1, 1, 1, 15, 0, 1, 1, 0.194, 0.362, 0.361, 0.723, 0.320, 98.8
1999, 현대, 26, 9, 16, 15, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0.067, 0.125, 0.067, 0.192, 0.103, -61.6
2000, 현대, 27, 76, 132, 114, 14, 22, 5, 0, 3, 36, 14, 0, 0, 3, 0, 33, 3, 1, 0, 0.193, 0.298, 0.316, 0.614, 0.285, 61.7
2001, 현대, 28, 45, 86, 79, 9, 18, 2, 2, 4, 36, 16, 0, 0, 0, 0, 29, 1, 1, 0, 0.228, 0.282, 0.456, 0.738, 0.320, 80.1
2002, KIA, 29, 26, 37, 33, 2, 5, 0, 0, 2, 11, 5, 0, 0, 0, 0, 16, 1, 1, 0, 0.152, 0.222, 0.333, 0.556, 0.239, 38.1
2003, KIA, 30, 103, 296, 257, 29, 72, 8, 0, 11, 113, 42, 1, 3, 1, 0, 56, 3, 7, 2, 0.280, 0.353, 0.440, 0.793, 0.349, 108.2
2004, KIA, 31, 119, 298, 250, 34, 64, 16, 1, 8, 106, 39, 0, 2, 6, 3, 51, 9, 0, 2, 0.256, 0.369, 0.424, 0.793, 0.363, 116.1
2005, KIA, 32, 79, 148, 124, 10, 31, 8, 0, 5, 54, 19, 0, 1, 2, 1, 32, 5, 0, 0, 0.250, 0.372, 0.435, 0.807, 0.370, 125.1
2006, KIA, 33, 115, 436, 377, 38, 107, 26, 0, 13, 172, 59, 1, 1, 2, 1, 78, 13, 1, 4, 0.284, 0.370, 0.456, 0.826, 0.381, 143.5
2007, KIA, 34, 90, 282, 243, 19, 63, 13, 0, 5, 91, 36, 0, 2, 0, 0, 47, 9, 0, 5, 0.259, 0.344, 0.374, 0.719, 0.338, 105.4
2008, KIA, 35, 87, 314, 261, 37, 72, 15, 0, 12, 123, 58, 2, 1, 3, 2, 49, 8, 0, 5, 0.276, 0.382, 0.471, 0.853, 0.390, 138.1
2009, KIA, 36, 51, 133, 108, 11, 21, 1, 1, 4, 36, 21, 0, 0, 4, 1, 32, 1, 0, 1, 0.194, 0.338, 0.333, 0.672, 0.315, 75.9
