year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 삼성, 23, 32, 49, 42, 6, 6, 0, 0, 2, 12, 5, 0, 0, 1, 0, 14, 0, 1, 0, 0.143, 0.250, 0.286, 0.536, 0.250, 39.5
2005, 삼성, 24, 59, 78, 67, 7, 15, 3, 0, 1, 21, 4, 0, 0, 1, 0, 13, 4, 4, 0, 0.224, 0.297, 0.313, 0.611, 0.275, 60.3
2006, 삼성, 25, 69, 92, 83, 13, 19, 5, 0, 2, 30, 9, 3, 0, 2, 0, 19, 1, 1, 0, 0.229, 0.297, 0.361, 0.658, 0.307, 90.8
2007, 삼성, 26, 65, 73, 64, 6, 10, 3, 0, 3, 22, 9, 0, 0, 1, 0, 10, 1, 1, 0, 0.156, 0.250, 0.344, 0.594, 0.274, 60.3
2010, 삼성, 29, 50, 104, 93, 12, 24, 3, 0, 1, 30, 7, 2, 0, 0, 0, 22, 4, 5, 0, 0.258, 0.303, 0.323, 0.626, 0.280, 59.2
2011, 삼성, 30, 8, 5, 5, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.400, 0.400, 0.400, 0.800, 0.382, 131.4
2012, 삼성, 31, 46, 64, 53, 4, 8, 0, 0, 0, 8, 1, 0, 1, 1, 0, 19, 0, 3, 0, 0.151, 0.262, 0.151, 0.413, 0.210, 19.5
2013, 삼성, 32, 11, 17, 17, 3, 4, 0, 0, 1, 7, 4, 1, 0, 0, 0, 4, 1, 0, 0, 0.235, 0.235, 0.412, 0.647, 0.291, 64.9
2014, 삼성, 33, 7, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.149, -38.3
2015, 삼성, 34, 5, 5, 5, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.400, 0.400, 0.400, 0.800, 0.374, 118.7
2016, 삼성, 35, 7, 9, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0.000, 0.111, 0.000, 0.111, 0.086, -77.7
