year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, LG, 18, 24, 22, 21, 2, 5, 0, 0, 0, 5, 1, 1, 1, 0, 0, 2, 2, 0, 0, 0.238, 0.273, 0.238, 0.511, 0.249, 43.7
1992, LG, 19, 54, 116, 101, 14, 21, 2, 0, 1, 26, 10, 3, 0, 2, 0, 9, 1, 3, 0, 0.208, 0.292, 0.257, 0.550, 0.262, 48.0
1993, LG, 20, 95, 317, 281, 24, 67, 6, 2, 3, 86, 29, 21, 9, 3, 1, 44, 10, 10, 2, 0.238, 0.296, 0.306, 0.603, 0.279, 75.1
1994, LG, 21, 117, 316, 284, 33, 60, 8, 1, 1, 73, 25, 11, 9, 0, 0, 35, 2, 9, 1, 0.211, 0.267, 0.257, 0.524, 0.245, 46.5
1995, LG, 22, 113, 312, 273, 30, 64, 4, 4, 1, 79, 20, 11, 5, 4, 0, 23, 3, 13, 2, 0.234, 0.294, 0.289, 0.584, 0.264, 64.7
1996, LG, 23, 91, 210, 182, 18, 44, 6, 4, 0, 58, 11, 12, 8, 0, 0, 15, 7, 14, 2, 0.242, 0.286, 0.319, 0.604, 0.263, 60.9
1998, LG, 25, 126, 443, 386, 38, 83, 9, 3, 4, 110, 29, 8, 7, 7, 0, 60, 7, 17, 1, 0.215, 0.286, 0.285, 0.571, 0.258, 53.4
1999, LG, 26, 128, 544, 468, 82, 136, 23, 7, 9, 200, 55, 18, 1, 13, 1, 83, 10, 9, 1, 0.291, 0.378, 0.427, 0.805, 0.357, 108.3
2000, LG, 27, 131, 492, 420, 65, 105, 19, 4, 6, 150, 35, 9, 5, 7, 0, 60, 3, 23, 1, 0.250, 0.326, 0.357, 0.683, 0.300, 72.0
2001, LG, 28, 79, 246, 213, 27, 48, 7, 1, 2, 63, 15, 4, 4, 1, 0, 27, 4, 7, 2, 0.225, 0.301, 0.296, 0.597, 0.277, 50.7
2002, LG, 29, 95, 400, 348, 51, 93, 16, 3, 7, 136, 44, 16, 8, 10, 0, 50, 6, 13, 1, 0.267, 0.339, 0.391, 0.729, 0.319, 93.5
2003, LG, 30, 100, 305, 262, 36, 61, 11, 1, 3, 83, 13, 5, 3, 5, 0, 24, 6, 8, 1, 0.233, 0.320, 0.317, 0.637, 0.293, 67.6
2004, LG, 31, 106, 357, 303, 34, 77, 9, 2, 1, 93, 22, 2, 4, 5, 0, 45, 3, 15, 0, 0.254, 0.339, 0.307, 0.646, 0.300, 72.2
2005, LG, 32, 85, 303, 269, 37, 68, 7, 2, 6, 97, 29, 5, 1, 4, 1, 37, 6, 7, 2, 0.253, 0.314, 0.361, 0.675, 0.305, 80.6
2006, LG, 33, 96, 300, 262, 25, 66, 11, 2, 3, 90, 31, 0, 0, 2, 0, 36, 5, 16, 2, 0.252, 0.303, 0.344, 0.646, 0.288, 77.0
2007, LG, 34, 121, 459, 389, 46, 111, 13, 2, 4, 140, 53, 5, 3, 1, 0, 39, 8, 19, 4, 0.285, 0.359, 0.360, 0.719, 0.328, 98.5
2008, LG, 35, 81, 303, 271, 24, 63, 7, 3, 1, 79, 26, 0, 1, 5, 0, 29, 5, 4, 6, 0.232, 0.284, 0.292, 0.576, 0.272, 56.5
2009, LG, 36, 12, 16, 15, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0.200, 0.250, 0.200, 0.450, 0.187, -10.9
