year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2006, 두산, 26, 120, 448, 388, 76, 110, 14, 6, 1, 139, 32, 51, 7, 7, 2, 60, 1, 11, 1, 0.284, 0.360, 0.358, 0.718, 0.332, 108.5
2007, 두산, 27, 123, 528, 465, 84, 147, 20, 12, 1, 194, 46, 47, 14, 4, 0, 74, 6, 6, 4, 0.316, 0.382, 0.417, 0.799, 0.369, 127.9
2008, 두산, 28, 122, 522, 458, 98, 138, 14, 5, 0, 162, 28, 47, 8, 4, 2, 53, 4, 6, 2, 0.301, 0.376, 0.354, 0.730, 0.346, 107.8
2009, 두산, 29, 82, 344, 312, 48, 86, 11, 4, 1, 108, 28, 37, 6, 0, 0, 38, 5, 3, 1, 0.276, 0.334, 0.346, 0.681, 0.315, 75.8
2010, 두산, 30, 114, 471, 413, 66, 129, 16, 2, 5, 164, 45, 30, 13, 4, 1, 46, 3, 6, 3, 0.312, 0.383, 0.397, 0.780, 0.360, 112.3
2011, 두산, 31, 121, 499, 436, 64, 132, 11, 5, 5, 168, 44, 20, 15, 5, 0, 51, 6, 5, 4, 0.303, 0.377, 0.385, 0.762, 0.359, 116.0
2012, 두산, 32, 121, 497, 437, 57, 105, 17, 1, 0, 124, 39, 21, 8, 3, 2, 43, 2, 9, 5, 0.240, 0.309, 0.284, 0.593, 0.282, 70.3
2013, 두산, 33, 110, 456, 401, 77, 123, 23, 6, 6, 176, 52, 30, 7, 3, 1, 57, 6, 12, 2, 0.307, 0.369, 0.439, 0.808, 0.366, 116.6
2014, NC, 34, 124, 495, 438, 73, 126, 28, 4, 6, 180, 78, 15, 4, 3, 0, 60, 5, 1, 13, 0.288, 0.342, 0.411, 0.753, 0.339, 87.8
2015, NC, 35, 125, 504, 440, 63, 118, 25, 2, 5, 162, 52, 17, 4, 3, 5, 78, 5, 4, 3, 0.268, 0.350, 0.368, 0.718, 0.327, 86.5
2016, NC, 36, 134, 517, 453, 73, 138, 24, 4, 5, 185, 57, 15, 3, 1, 0, 73, 11, 4, 5, 0.305, 0.376, 0.408, 0.785, 0.361, 104.1
2017, NC, 37, 107, 355, 318, 52, 98, 15, 0, 5, 128, 34, 9, 2, 5, 0, 30, 5, 2, 2, 0.308, 0.371, 0.403, 0.774, 0.352, 103.1
2018, NC, 38, 43, 128, 122, 12, 28, 7, 0, 1, 38, 8, 1, 1, 0, 0, 16, 2, 1, 1, 0.230, 0.252, 0.311, 0.563, 0.249, 35.1
