year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, 롯데, 23, 23, 70, 59, 6, 19, 4, 2, 1, 30, 9, 4, 1, 3, 0, 12, 1, 3, 0, 0.322, 0.403, 0.508, 0.912, 0.385, 126.7
2000, 롯데, 24, 40, 68, 59, 11, 8, 1, 0, 1, 12, 3, 1, 0, 1, 0, 19, 3, 0, 0, 0.136, 0.250, 0.203, 0.453, 0.226, 23.0
2001, 롯데, 25, 114, 270, 216, 37, 58, 14, 1, 3, 83, 26, 10, 2, 12, 0, 41, 4, 10, 5, 0.269, 0.373, 0.384, 0.757, 0.342, 95.2
2002, 롯데|삼성, 26, 104, 82, 72, 13, 14, 4, 0, 1, 21, 4, 3, 0, 5, 0, 19, 1, 2, 0, 0.194, 0.275, 0.292, 0.567, 0.258, 51.1
, 삼성, 26, 86, 51, 43, 11, 11, 4, 0, 1, 18, 4, 2, 0, 3, 0, 8, 1, 2, 0, 0.256, 0.347, 0.419, 0.766, 0.332, 102.3
, 롯데, 26, 18, 31, 29, 2, 3, 0, 0, 0, 3, 0, 1, 0, 2, 0, 11, 0, 0, 0, 0.103, 0.161, 0.103, 0.265, 0.136, -35.4
2003, 삼성|한화, 27, 119, 314, 270, 38, 65, 14, 2, 7, 104, 26, 6, 6, 9, 1, 64, 3, 6, 0, 0.241, 0.334, 0.385, 0.720, 0.324, 90.4
, 삼성, 27, 13, 13, 11, 0, 3, 1, 0, 0, 4, 1, 1, 2, 1, 0, 3, 1, 0, 0, 0.273, 0.385, 0.364, 0.748, 0.355, 112.1
, 한화, 27, 106, 301, 259, 38, 62, 13, 2, 7, 100, 25, 5, 4, 8, 1, 61, 2, 6, 0, 0.239, 0.332, 0.386, 0.718, 0.322, 89.5
2004, 한화|두산, 28, 51, 115, 103, 13, 18, 2, 0, 0, 20, 5, 0, 1, 1, 0, 24, 2, 4, 1, 0.175, 0.225, 0.194, 0.419, 0.199, 5.1
, 두산, 28, 18, 29, 27, 2, 6, 2, 0, 0, 8, 1, 0, 0, 0, 0, 7, 0, 0, 1, 0.222, 0.241, 0.296, 0.538, 0.246, 34.3
, 한화, 28, 33, 86, 76, 11, 12, 0, 0, 0, 12, 4, 0, 1, 1, 0, 17, 2, 4, 0, 0.158, 0.220, 0.158, 0.377, 0.183, -4.2
2005, 두산, 29, 109, 401, 336, 41, 104, 13, 3, 3, 132, 30, 10, 3, 4, 0, 51, 5, 22, 4, 0.310, 0.377, 0.393, 0.770, 0.340, 105.1
2006, 두산, 30, 99, 316, 279, 37, 72, 7, 4, 0, 87, 20, 9, 6, 5, 1, 38, 5, 7, 1, 0.258, 0.327, 0.312, 0.639, 0.299, 84.9
2009, 두산, 33, 121, 426, 359, 61, 101, 13, 1, 6, 134, 50, 11, 5, 12, 0, 63, 14, 2, 1, 0.281, 0.389, 0.373, 0.762, 0.359, 105.8
2010, 두산, 34, 96, 173, 130, 27, 38, 5, 2, 3, 56, 18, 7, 3, 8, 2, 28, 2, 3, 1, 0.292, 0.453, 0.431, 0.884, 0.406, 143.2
2011, 두산, 35, 36, 105, 84, 20, 27, 8, 0, 2, 41, 10, 0, 2, 1, 0, 16, 4, 3, 1, 0.321, 0.431, 0.488, 0.920, 0.414, 154.2
2012, 두산, 36, 66, 148, 136, 16, 33, 4, 2, 2, 47, 14, 4, 2, 0, 0, 25, 7, 3, 1, 0.243, 0.283, 0.346, 0.628, 0.289, 75.4
2013, 두산, 37, 70, 143, 112, 19, 29, 5, 1, 0, 36, 10, 2, 0, 4, 0, 18, 4, 0, 0, 0.259, 0.420, 0.321, 0.741, 0.372, 120.7
2014, LG, 38, 53, 76, 66, 13, 16, 1, 0, 0, 17, 3, 0, 0, 1, 0, 16, 1, 4, 0, 0.242, 0.306, 0.258, 0.563, 0.261, 37.1
2015, 롯데, 39, 38, 63, 52, 6, 8, 2, 0, 1, 13, 3, 2, 1, 1, 0, 16, 1, 3, 0, 0.154, 0.267, 0.250, 0.517, 0.239, 26.8
