year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, SK, 19, 10, 11, 10, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0.200, 0.273, 0.200, 0.473, 0.238, 29.1
2010, SK, 25, 76, 202, 172, 22, 40, 8, 2, 1, 55, 14, 7, 5, 0, 1, 32, 1, 7, 3, 0.233, 0.308, 0.320, 0.628, 0.283, 60.4
2011, SK, 26, 93, 281, 229, 34, 61, 9, 6, 0, 82, 24, 5, 5, 0, 0, 33, 4, 16, 3, 0.266, 0.355, 0.358, 0.713, 0.320, 89.6
2012, SK, 27, 117, 348, 314, 36, 84, 8, 4, 0, 100, 26, 3, 5, 1, 0, 56, 7, 14, 1, 0.268, 0.308, 0.318, 0.627, 0.288, 74.3
2013, SK, 28, 40, 87, 81, 6, 18, 1, 0, 0, 19, 5, 0, 0, 1, 0, 14, 4, 1, 0, 0.222, 0.267, 0.235, 0.502, 0.245, 34.2
2014, SK, 29, 90, 330, 277, 47, 87, 13, 1, 2, 108, 27, 9, 2, 8, 0, 61, 4, 6, 2, 0.314, 0.407, 0.390, 0.797, 0.370, 112.1
2015, SK|LG, 30, 88, 296, 252, 44, 70, 12, 1, 1, 87, 24, 3, 2, 9, 0, 44, 5, 7, 2, 0.278, 0.363, 0.345, 0.709, 0.328, 87.6
, LG, 30, 55, 215, 183, 34, 55, 11, 1, 1, 71, 15, 2, 2, 7, 0, 31, 2, 5, 1, 0.301, 0.386, 0.388, 0.774, 0.354, 104.5
, SK, 30, 33, 81, 69, 10, 15, 1, 0, 0, 16, 9, 1, 0, 2, 0, 13, 3, 2, 1, 0.217, 0.304, 0.232, 0.536, 0.259, 43.3
2016, LG, 31, 60, 198, 180, 20, 47, 4, 0, 1, 54, 14, 8, 4, 2, 0, 26, 6, 4, 0, 0.261, 0.314, 0.300, 0.614, 0.289, 54.0
2017, LG, 32, 42, 85, 82, 8, 24, 1, 0, 0, 25, 7, 1, 2, 1, 0, 16, 3, 0, 0, 0.293, 0.318, 0.305, 0.623, 0.292, 62.1
2018, LG, 33, 54, 88, 83, 10, 19, 3, 0, 2, 28, 7, 0, 0, 0, 0, 15, 3, 2, 0, 0.229, 0.256, 0.337, 0.593, 0.256, 41.5
