year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 태평양, 25, 67, 185, 167, 20, 47, 8, 0, 4, 67, 19, 0, 2, 0, 0, 24, 5, 3, 0, 0.281, 0.341, 0.401, 0.742, 0.338, 100.5
1993, 태평양, 26, 98, 321, 279, 17, 48, 10, 0, 4, 70, 24, 1, 3, 2, 2, 56, 6, 8, 2, 0.172, 0.256, 0.251, 0.507, 0.239, 46.7
1994, 태평양, 27, 78, 248, 226, 22, 48, 9, 0, 6, 75, 29, 1, 1, 1, 0, 45, 7, 3, 4, 0.212, 0.257, 0.332, 0.589, 0.269, 65.8
1995, 태평양, 28, 49, 112, 102, 7, 18, 4, 0, 1, 25, 3, 0, 0, 0, 0, 29, 2, 2, 0, 0.176, 0.236, 0.245, 0.482, 0.225, 38.6
1996, 현대, 29, 107, 281, 250, 18, 53, 9, 0, 2, 68, 13, 0, 8, 1, 1, 37, 4, 11, 2, 0.212, 0.263, 0.272, 0.535, 0.242, 47.4
1997, 현대, 30, 81, 225, 197, 20, 43, 9, 1, 3, 63, 13, 1, 1, 0, 0, 24, 1, 15, 1, 0.218, 0.262, 0.320, 0.582, 0.249, 48.4
1998, 현대, 31, 65, 62, 58, 15, 15, 5, 0, 2, 26, 10, 1, 1, 0, 0, 11, 0, 3, 1, 0.259, 0.254, 0.448, 0.703, 0.289, 76.9
1999, 현대, 32, 65, 82, 73, 11, 20, 5, 0, 3, 34, 18, 1, 1, 0, 0, 10, 0, 4, 1, 0.274, 0.308, 0.466, 0.773, 0.316, 80.9
2000, SK, 33, 12, 23, 22, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 6, 1, 0, 1, 0.136, 0.130, 0.136, 0.267, 0.121, -46.8
2001, 현대, 34, 27, 15, 13, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.154, 0.267, 0.154, 0.421, 0.224, 16.6
