year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 해태, 22, 28, 48, 42, 3, 8, 1, 0, 2, 15, 3, 0, 0, 1, 0, 13, 1, 1, 0, 0.190, 0.277, 0.357, 0.634, 0.298, 87.9
1987, 해태, 23, 40, 88, 77, 5, 16, 4, 0, 3, 29, 9, 1, 0, 0, 0, 14, 2, 4, 1, 0.208, 0.262, 0.377, 0.639, 0.285, 68.9
1988, 해태, 24, 107, 383, 338, 51, 84, 16, 0, 26, 178, 58, 2, 1, 0, 1, 64, 11, 9, 0, 0.249, 0.321, 0.527, 0.848, 0.371, 130.0
1989, 해태, 25, 102, 357, 316, 27, 77, 15, 0, 10, 122, 37, 0, 1, 3, 2, 53, 13, 2, 1, 0.244, 0.324, 0.386, 0.710, 0.335, 105.0
1990, 해태, 26, 61, 218, 192, 21, 43, 4, 0, 7, 68, 21, 0, 1, 3, 0, 37, 4, 9, 0, 0.224, 0.287, 0.354, 0.641, 0.292, 73.4
1991, 해태, 27, 114, 401, 345, 46, 81, 11, 0, 17, 143, 48, 0, 2, 2, 0, 59, 16, 6, 4, 0.235, 0.322, 0.414, 0.736, 0.335, 103.8
1992, 해태, 28, 112, 396, 326, 59, 86, 14, 0, 23, 169, 62, 1, 0, 6, 1, 66, 11, 0, 4, 0.264, 0.384, 0.518, 0.902, 0.401, 143.2
1993, 해태, 29, 67, 200, 163, 17, 29, 4, 0, 4, 45, 20, 2, 0, 2, 0, 25, 6, 6, 0, 0.178, 0.309, 0.276, 0.585, 0.282, 78.5
1994, 해태|쌍방울, 30, 30, 56, 54, 1, 6, 0, 0, 1, 9, 4, 0, 1, 0, 0, 10, 1, 0, 0, 0.111, 0.143, 0.167, 0.310, 0.148, -18.4
, 쌍방울, 30, 16, 24, 23, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 5, 1, 0, 0, 0.087, 0.125, 0.087, 0.212, 0.108, -47.9
, 해태, 30, 14, 32, 31, 1, 4, 0, 0, 1, 7, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0.129, 0.156, 0.226, 0.382, 0.178, 3.1
1995, 쌍방울, 31, 73, 140, 126, 7, 22, 5, 0, 4, 39, 23, 0, 1, 1, 0, 26, 3, 1, 2, 0.175, 0.237, 0.310, 0.547, 0.250, 56.6
