year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 현대, 23, 20, 49, 43, 6, 11, 1, 0, 3, 21, 9, 0, 0, 0, 0, 10, 1, 0, 0, 0.256, 0.347, 0.488, 0.835, 0.367, 118.0
2001, 현대, 24, 71, 165, 142, 20, 37, 6, 0, 6, 61, 19, 0, 0, 0, 0, 39, 1, 1, 2, 0.261, 0.348, 0.430, 0.777, 0.351, 100.8
2002, 현대, 25, 11, 20, 17, 2, 5, 2, 1, 0, 9, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0.294, 0.400, 0.529, 0.929, 0.405, 153.0
2003, 현대, 26, 61, 182, 156, 19, 40, 7, 0, 7, 68, 21, 0, 0, 4, 0, 44, 1, 2, 0, 0.256, 0.356, 0.436, 0.792, 0.356, 112.3
2004, 현대, 27, 79, 128, 108, 17, 32, 6, 0, 7, 59, 15, 0, 2, 0, 2, 34, 2, 0, 0, 0.296, 0.406, 0.546, 0.953, 0.422, 156.0
2005, 현대, 28, 37, 111, 96, 12, 20, 7, 0, 2, 33, 4, 0, 1, 1, 0, 27, 3, 0, 0, 0.208, 0.315, 0.344, 0.659, 0.311, 85.0
2006, 현대, 29, 51, 68, 57, 5, 10, 1, 0, 2, 17, 5, 0, 0, 1, 1, 13, 2, 0, 0, 0.175, 0.309, 0.298, 0.607, 0.291, 79.3
2007, 현대, 30, 4, 4, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.333, 0.500, 0.333, 0.833, 0.418, 160.6
2008, 히어로즈, 31, 32, 59, 49, 6, 11, 0, 0, 1, 14, 4, 0, 0, 0, 1, 11, 1, 0, 0, 0.224, 0.356, 0.286, 0.642, 0.314, 86.0
2010, 한화, 33, 40, 103, 88, 12, 20, 3, 0, 1, 26, 7, 1, 1, 0, 0, 26, 2, 3, 0, 0.227, 0.320, 0.295, 0.616, 0.289, 65.0
