year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, SK, 23, 0, 0, 0, 0, 0, 0, 0, 16.2, 10, 10, 80, 19, , 2, 10, 0, 1, 20, 0, 0, 5.40, 4.25, 1.74, 87.2
2002, SK, 24, 0, 0, 0, 1, 0, 0, 0, 42.0, 15, 15, 173, 37, , 3, 10, 2, 1, 30, 0, 0, 3.21, 3.15, 1.12, 130.9
2003, SK, 25, 0, 0, 0, 4, 3, 2, 8, 51.0, 16, 13, 203, 33, , 4, 17, 3, 3, 34, 0, 0, 2.29, 3.45, 0.98, 181.8
2004, SK, 26, 0, 0, 0, 2, 3, 2, 16, 69.1, 22, 18, 280, 62, , 2, 14, 3, 5, 50, 0, 0, 2.34, 2.57, 1.10, 180.0
2005, SK, 27, 0, 0, 0, 1, 0, 3, 6, 24.1, 1, 1, 87, 10, , 0, 6, 0, 0, 18, 0, 0, 0.37, 2.28, 0.66, 1116.7
2006, SK, 28, 0, 0, 0, 8, 4, 15, 11, 74.1, 19, 16, 289, 55, , 3, 23, 4, 3, 52, 0, 0, 1.94, 2.72, 1.05, 181.5
2007, SK, 29, 0, 0, 0, 3, 2, 27, 3, 78.1, 12, 8, 307, 50, , 3, 24, 9, 8, 65, 0, 2, 0.92, 2.55, 0.95, 414.5
2008, SK, 30, 0, 0, 0, 4, 3, 20, 0, 60.2, 18, 18, 250, 51, , 4, 22, 5, 3, 50, 0, 1, 2.67, 3.35, 1.20, 151.9
2009, SK, 31, 0, 0, 0, 2, 3, 10, 13, 52.2, 11, 7, 211, 40, , 1, 17, 8, 4, 43, 0, 2, 1.20, 2.54, 1.08, 395.5
2010, SK, 32, 0, 0, 0, 4, 1, 4, 8, 45.0, 7, 7, 170, 31, , 1, 7, 3, 1, 47, 0, 1, 1.40, 1.82, 0.84, 324.8
2011, SK, 33, 0, 0, 0, 3, 3, 16, 11, 54.2, 12, 9, 227, 43, , 1, 25, 6, 3, 39, 0, 2, 1.48, 3.21, 1.24, 277.0
2012, 롯데, 34, 0, 0, 0, 2, 0, 1, 5, 28.1, 2, 2, 102, 12, , 0, 7, 3, 1, 26, 0, 1, 0.64, 1.80, 0.67, 603.3
2013, 롯데, 35, 0, 0, 0, 5, 4, 1, 16, 51.1, 21, 19, 227, 56, , 3, 21, 0, 8, 34, 0, 2, 3.33, 4.48, 1.50, 131.2
2014, 롯데, 36, 0, 0, 0, 4, 2, 2, 13, 42.0, 19, 19, 181, 40, 0, 2, 13, 2, 6, 27, 0, 0, 4.07, 4.40, 1.26, 133.9
2015, 롯데, 37, 0, 0, 0, 2, 1, 3, 3, 18.1, 6, 6, 77, 16, 0, 3, 7, 0, 2, 17, 0, 2, 2.95, 5.36, 1.26, 171.1
2016, 롯데, 38, 0, 0, 0, 1, 0, 0, 8, 17.1, 10, 10, 85, 24, 0, 3, 13, 2, 0, 7, 0, 0, 5.19, 7.14, 2.14, 100.6
