year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1984, 삼성, 20, 21, 36, 33, 3, 9, 0, 0, 0, 9, 2, 0, 0, 0, 0, 11, 2, 0, 0, 0.273, 0.333, 0.273, 0.606, 0.296, 82.9
1986, 삼성, 22, 58, 104, 84, 11, 19, 2, 0, 0, 21, 8, 1, 0, 1, 0, 14, 0, 1, 0, 0.226, 0.369, 0.250, 0.619, 0.312, 98.7
1987, 삼성, 23, 8, 19, 18, 0, 4, 1, 1, 0, 7, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0.222, 0.263, 0.389, 0.652, 0.302, 81.5
1988, 삼성, 24, 23, 45, 43, 2, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0.116, 0.156, 0.116, 0.272, 0.137, -29.4
1989, 삼성, 25, 44, 108, 91, 9, 20, 6, 0, 1, 29, 10, 2, 0, 1, 0, 19, 3, 1, 2, 0.220, 0.318, 0.319, 0.636, 0.307, 86.0
1990, 삼성, 26, 33, 74, 64, 11, 14, 2, 0, 3, 25, 9, 1, 1, 1, 0, 7, 0, 0, 1, 0.219, 0.311, 0.391, 0.701, 0.330, 99.0
1991, 삼성, 27, 77, 157, 132, 22, 39, 8, 0, 5, 62, 12, 2, 3, 1, 0, 23, 1, 2, 0, 0.295, 0.400, 0.470, 0.870, 0.398, 146.1
1992, 삼성, 28, 63, 119, 104, 9, 20, 2, 0, 3, 31, 15, 0, 0, 1, 0, 27, 2, 0, 1, 0.192, 0.286, 0.298, 0.584, 0.278, 60.9
1993, 해태, 29, 107, 304, 248, 35, 61, 15, 0, 10, 106, 43, 2, 0, 4, 0, 53, 4, 0, 3, 0.246, 0.375, 0.427, 0.802, 0.378, 147.5
1994, 해태, 30, 80, 219, 183, 15, 38, 10, 0, 5, 63, 23, 1, 1, 3, 0, 35, 5, 1, 3, 0.208, 0.318, 0.344, 0.662, 0.310, 93.9
1995, 해태, 31, 14, 17, 15, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0.133, 0.177, 0.133, 0.310, 0.151, -11.1
