year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1982, MBC, 26, 75, 270, 246, 27, 56, 5, 1, 1, 66, 23, 6, 6, 0, 0, 32, 3, 2, 1, 0.228, 0.287, 0.268, 0.556, 0.265, 57.3
1983, MBC|롯데, 27, 57, 123, 116, 9, 18, 6, 0, 1, 27, 7, 1, 1, 0, 0, 12, 3, 2, 1, 0.155, 0.182, 0.233, 0.415, 0.191, 10.8
, 롯데, 27, 57, 123, 116, 9, 18, 6, 0, 1, 27, 7, 1, 1, 0, 0, 12, 3, 3, 0, 0.155, 0.183, 0.233, 0.416, 0.191, 10.9
, MBC, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
1984, 롯데, 28, 94, 352, 321, 30, 87, 9, 1, 1, 101, 28, 5, 4, 4, 0, 28, 8, 5, 2, 0.271, 0.320, 0.315, 0.635, 0.299, 84.7
1985, 롯데, 29, 92, 306, 280, 22, 85, 11, 1, 1, 101, 24, 3, 1, 2, 0, 31, 5, 7, 0, 0.304, 0.348, 0.361, 0.709, 0.329, 102.6
1986, 롯데, 30, 90, 233, 212, 17, 44, 3, 2, 1, 54, 11, 3, 0, 2, 1, 28, 6, 6, 0, 0.208, 0.260, 0.255, 0.515, 0.243, 45.8
1987, 롯데, 31, 97, 312, 286, 25, 80, 7, 1, 0, 89, 22, 4, 2, 1, 0, 21, 6, 2, 0, 0.280, 0.336, 0.311, 0.647, 0.313, 89.7
1988, 롯데, 32, 72, 179, 159, 15, 37, 5, 1, 0, 44, 15, 0, 2, 1, 0, 14, 4, 5, 1, 0.233, 0.293, 0.277, 0.570, 0.267, 58.8
1989, 태평양, 33, 79, 213, 186, 17, 38, 4, 3, 3, 57, 21, 1, 2, 0, 0, 20, 5, 8, 2, 0.204, 0.268, 0.306, 0.575, 0.266, 57.1
1990, 태평양, 34, 88, 181, 157, 10, 27, 7, 0, 0, 34, 11, 2, 3, 0, 0, 25, 6, 6, 2, 0.172, 0.246, 0.217, 0.462, 0.223, 25.1
