year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, LG, 19, 106, 340, 314, 41, 76, 10, 3, 8, 116, 42, 3, 1, 4, 0, 69, 6, 3, 2, 0.242, 0.288, 0.369, 0.657, 0.299, 76.1
2006, LG, 20, 82, 258, 239, 28, 62, 8, 1, 6, 90, 26, 1, 0, 5, 0, 39, 7, 1, 0, 0.259, 0.311, 0.377, 0.688, 0.322, 101.7
2007, LG, 21, 88, 208, 193, 22, 54, 8, 1, 3, 73, 20, 2, 2, 0, 3, 22, 7, 2, 2, 0.280, 0.316, 0.378, 0.694, 0.314, 88.7
2008, LG, 22, 38, 90, 78, 8, 15, 1, 0, 0, 16, 3, 0, 0, 3, 1, 13, 3, 1, 0, 0.192, 0.292, 0.205, 0.497, 0.248, 40.3
2011, LG, 25, 93, 272, 242, 13, 62, 9, 0, 0, 71, 23, 3, 2, 4, 1, 32, 7, 6, 3, 0.256, 0.312, 0.293, 0.605, 0.285, 65.5
2012, LG, 26, 81, 256, 233, 19, 66, 18, 1, 2, 92, 27, 2, 2, 3, 1, 34, 4, 3, 4, 0.283, 0.324, 0.395, 0.719, 0.330, 104.3
2013, LG, 27, 116, 405, 367, 42, 100, 15, 5, 5, 140, 47, 5, 4, 8, 2, 45, 10, 1, 3, 0.272, 0.332, 0.381, 0.713, 0.333, 93.6
2014, LG, 28, 97, 292, 261, 29, 69, 14, 0, 7, 104, 38, 5, 4, 5, 1, 40, 9, 2, 3, 0.264, 0.328, 0.398, 0.726, 0.325, 85.6
2015, LG|SK, 29, 91, 297, 259, 38, 83, 14, 0, 14, 139, 51, 5, 0, 9, 0, 46, 6, 0, 3, 0.320, 0.397, 0.537, 0.934, 0.411, 145.6
, LG, 29, 32, 75, 66, 3, 17, 3, 0, 0, 20, 7, 2, 0, 2, 0, 19, 3, 0, 1, 0.258, 0.333, 0.303, 0.636, 0.304, 70.1
, SK, 29, 59, 222, 193, 35, 66, 11, 0, 14, 119, 44, 3, 0, 7, 0, 27, 3, 0, 2, 0.342, 0.419, 0.617, 1.036, 0.447, 167.2
2016, SK, 30, 144, 616, 576, 68, 179, 32, 1, 27, 294, 100, 2, 3, 10, 3, 76, 15, 0, 5, 0.311, 0.347, 0.510, 0.858, 0.375, 109.8
2017, SK, 31, 112, 381, 349, 44, 112, 16, 0, 15, 173, 45, 0, 1, 9, 0, 61, 11, 0, 4, 0.321, 0.368, 0.496, 0.863, 0.379, 119.7
2018, SK, 32, 73, 239, 217, 27, 59, 9, 0, 11, 101, 38, 1, 1, 2, 1, 29, 8, 0, 1, 0.272, 0.335, 0.465, 0.800, 0.345, 94.9
2019, SK, 33, 110, 419, 380, 44, 107, 24, 0, 13, 170, 59, 0, 0, 6, 1, 60, 9, 0, 2, 0.282, 0.342, 0.447, 0.790, 0.359, 116.1
2020, SK, 34, 76, 203, 187, 13, 45, 5, 1, 1, 55, 20, 0, 1, 1, 1, 38, 7, 0, 3, 0.241, 0.286, 0.294, 0.580, 0.270, 51.9
2021, SSG, 35, 62, 178, 165, 21, 38, 2, 0, 7, 61, 24, 0, 0, 0, 1, 37, 5, 0, 2, 0.230, 0.275, 0.370, 0.645, 0.295, 67.3
