year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, LG, 19, 6, 11, 11, 2, 1, 0, 0, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0.091, 0.091, 0.364, 0.455, 0.176, -18.4
2010, LG, 20, 8, 11, 9, 0, 2, 0, 0, 0, 2, 2, 1, 1, 0, 0, 4, 0, 0, 1, 0.222, 0.273, 0.222, 0.495, 0.238, 30.3
2011, LG, 21, 15, 21, 18, 6, 3, 0, 0, 0, 3, 2, 2, 0, 0, 0, 4, 1, 0, 0, 0.167, 0.286, 0.167, 0.452, 0.241, 34.9
2012, LG, 22, 18, 25, 23, 5, 4, 0, 0, 0, 4, 1, 4, 1, 0, 0, 9, 0, 0, 0, 0.174, 0.240, 0.174, 0.414, 0.210, 20.0
2013, LG, 23, 61, 104, 83, 21, 18, 4, 2, 0, 26, 15, 10, 4, 0, 0, 19, 1, 4, 1, 0.217, 0.340, 0.313, 0.653, 0.306, 75.3
2016, LG, 26, 99, 257, 225, 30, 50, 12, 1, 1, 67, 22, 5, 5, 0, 0, 66, 1, 2, 2, 0.222, 0.306, 0.298, 0.604, 0.287, 52.5
2017, LG, 27, 15, 9, 8, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 1, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.7
2018, LG, 28, 115, 339, 303, 48, 79, 14, 2, 6, 115, 31, 18, 3, 2, 0, 68, 9, 6, 1, 0.261, 0.324, 0.380, 0.704, 0.310, 76.9
2019, LG, 29, 129, 425, 376, 53, 87, 19, 2, 2, 116, 27, 15, 6, 1, 0, 91, 10, 16, 1, 0.231, 0.291, 0.309, 0.600, 0.273, 60.3
2020, LG, 30, 134, 371, 328, 50, 81, 10, 4, 4, 111, 30, 8, 7, 3, 0, 63, 6, 9, 2, 0.247, 0.312, 0.338, 0.651, 0.297, 71.1
2021, LG, 31, 73, 214, 181, 26, 43, 7, 1, 3, 61, 10, 3, 3, 0, 0, 32, 4, 9, 0, 0.238, 0.327, 0.337, 0.664, 0.306, 79.7
