year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, 삼성, 19, 8, 22, 21, 3, 4, 1, 0, 1, 8, 2, 0, 0, 0, 0, 5, 1, 1, 0, 0.190, 0.191, 0.381, 0.571, 0.242, 31.2
2014, 삼성, 20, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -134.8
2017, kt, 23, 124, 399, 350, 45, 105, 20, 3, 6, 149, 42, 4, 2, 22, 0, 70, 14, 6, 3, 0.300, 0.369, 0.426, 0.795, 0.355, 102.4
2018, KT, 24, 65, 132, 117, 16, 31, 7, 0, 2, 44, 9, 3, 0, 0, 0, 28, 3, 6, 0, 0.265, 0.318, 0.376, 0.694, 0.297, 63.2
2019, KT|SK, 25, 27, 44, 37, 3, 3, 0, 0, 0, 3, 2, 1, 1, 0, 0, 16, 1, 0, 1, 0.081, 0.205, 0.081, 0.286, 0.163, -15.9
, KT, 25, 4, 10, 9, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0.111, 0.200, 0.111, 0.311, 0.167, -13.7
, SK, 25, 23, 34, 28, 3, 2, 0, 0, 0, 2, 1, 1, 1, 0, 0, 14, 0, 0, 1, 0.071, 0.206, 0.071, 0.277, 0.162, -16.7
2020, SK, 26, 89, 128, 112, 14, 17, 4, 0, 2, 27, 4, 0, 2, 2, 0, 34, 3, 3, 0, 0.152, 0.240, 0.241, 0.481, 0.227, 22.0
2021, SSG|NC, 27, 68, 149, 117, 14, 26, 5, 1, 0, 33, 7, 0, 1, 7, 0, 24, 7, 8, 0, 0.222, 0.355, 0.282, 0.637, 0.304, 76.1
, SSG, 27, 12, 29, 21, 5, 4, 2, 0, 0, 6, 0, 0, 0, 3, 0, 4, 1, 2, 0, 0.190, 0.370, 0.286, 0.656, 0.313, 80.6
, NC, 27, 56, 120, 96, 9, 22, 3, 1, 0, 27, 7, 0, 1, 4, 0, 20, 6, 6, 0, 0.229, 0.351, 0.281, 0.632, 0.302, 74.6
