year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 해태, 22, 74, 226, 202, 19, 52, 10, 1, 3, 73, 26, 1, 4, 1, 0, 22, 4, 9, 2, 0.257, 0.300, 0.361, 0.661, 0.300, 78.4
1991, 해태, 23, 89, 223, 193, 24, 46, 6, 1, 6, 72, 26, 2, 3, 1, 1, 27, 7, 4, 1, 0.238, 0.324, 0.373, 0.697, 0.320, 93.8
1992, 해태, 24, 97, 241, 214, 28, 59, 10, 1, 7, 92, 46, 3, 1, 6, 0, 31, 9, 5, 3, 0.276, 0.331, 0.430, 0.760, 0.338, 100.9
1993, 해태, 25, 117, 372, 345, 33, 95, 14, 1, 7, 132, 35, 0, 4, 5, 0, 41, 11, 5, 1, 0.275, 0.316, 0.383, 0.699, 0.326, 110.1
1994, 해태, 26, 80, 292, 271, 22, 64, 8, 0, 8, 96, 34, 0, 0, 4, 0, 32, 6, 3, 5, 0.236, 0.266, 0.354, 0.621, 0.282, 75.1
1995, 해태, 27, 8, 14, 14, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0.143, 0.143, 0.214, 0.357, 0.161, -4.2
1996, 해태, 28, 59, 128, 103, 12, 19, 4, 0, 3, 32, 11, 0, 1, 3, 0, 24, 2, 4, 2, 0.184, 0.307, 0.311, 0.617, 0.286, 78.5
1997, 해태, 29, 11, 10, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0.000, 0.100, 0.000, 0.100, 0.074, -69.9
1998, 삼성, 30, 39, 70, 61, 2, 16, 2, 0, 0, 18, 8, 0, 0, 1, 0, 13, 2, 1, 2, 0.262, 0.319, 0.295, 0.614, 0.282, 72.8
1999, 삼성, 31, 47, 102, 89, 6, 16, 3, 0, 2, 25, 14, 1, 2, 2, 0, 21, 3, 4, 2, 0.180, 0.235, 0.281, 0.516, 0.224, 21.3
