year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, OB, 22, 7, 10, 10, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.300, 0.300, 0.300, 0.600, 0.283, 62.4
1993, OB, 23, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -137.8
1994, OB, 24, 26, 39, 33, 2, 3, 1, 0, 0, 4, 1, 0, 0, 0, 0, 13, 1, 1, 0, 0.091, 0.211, 0.121, 0.332, 0.174, -4.9
1995, OB|한화, 25, 26, 41, 32, 2, 7, 1, 0, 0, 8, 2, 0, 0, 4, 0, 7, 1, 1, 1, 0.219, 0.350, 0.250, 0.600, 0.292, 85.4
, 한화, 25, 26, 41, 32, 2, 7, 1, 0, 0, 8, 2, 0, 0, 4, 0, 7, 1, 1, 1, 0.219, 0.350, 0.250, 0.600, 0.292, 85.4
, OB, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
1996, 한화, 26, 123, 386, 325, 24, 84, 14, 3, 2, 110, 39, 1, 4, 14, 1, 56, 8, 19, 3, 0.258, 0.335, 0.338, 0.674, 0.303, 89.8
1997, 한화, 27, 77, 130, 101, 9, 19, 3, 0, 2, 28, 6, 1, 1, 5, 1, 20, 5, 6, 0, 0.188, 0.339, 0.277, 0.616, 0.286, 74.2
1998, 한화, 28, 61, 90, 82, 5, 22, 4, 0, 1, 29, 4, 0, 1, 0, 0, 18, 1, 1, 0, 0.268, 0.326, 0.354, 0.680, 0.309, 91.1
1999, 한화, 29, 118, 236, 194, 32, 45, 11, 0, 2, 62, 20, 2, 0, 6, 0, 45, 7, 10, 3, 0.232, 0.327, 0.320, 0.647, 0.290, 64.3
2000, 한화, 30, 87, 189, 163, 13, 35, 9, 0, 1, 47, 13, 0, 1, 3, 0, 46, 2, 4, 0, 0.215, 0.308, 0.288, 0.597, 0.279, 59.4
2001, 한화, 31, 89, 163, 138, 16, 38, 9, 0, 3, 56, 9, 2, 2, 3, 1, 30, 1, 8, 0, 0.275, 0.355, 0.406, 0.761, 0.333, 89.4
2002, 한화, 32, 107, 177, 157, 15, 32, 6, 0, 4, 50, 16, 1, 2, 3, 0, 41, 3, 4, 0, 0.204, 0.278, 0.318, 0.596, 0.267, 57.9
2003, 한화, 33, 48, 69, 59, 4, 11, 1, 0, 0, 12, 2, 0, 0, 0, 0, 9, 3, 1, 1, 0.186, 0.279, 0.203, 0.483, 0.237, 30.7
