year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, SK, 20, 6, 6, 6, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.167, 0.167, 0.167, 0.333, 0.157, -27.6
2002, SK, 21, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -131.3
2005, SK, 24, 110, 345, 281, 41, 74, 2, 4, 1, 87, 19, 19, 5, 3, 0, 55, 2, 41, 1, 0.263, 0.316, 0.310, 0.625, 0.262, 50.0
2006, SK, 25, 65, 163, 139, 20, 28, 3, 4, 0, 39, 12, 8, 1, 2, 0, 25, 1, 9, 2, 0.201, 0.266, 0.281, 0.547, 0.246, 45.7
2007, SK, 26, 121, 345, 290, 48, 79, 8, 3, 0, 93, 18, 25, 6, 7, 1, 59, 1, 13, 4, 0.272, 0.352, 0.321, 0.673, 0.312, 86.6
2008, SK, 27, 103, 337, 283, 43, 79, 4, 4, 1, 94, 26, 19, 3, 3, 2, 56, 6, 15, 3, 0.279, 0.357, 0.332, 0.689, 0.316, 86.8
2009, SK, 28, 102, 191, 169, 22, 30, 4, 3, 0, 40, 8, 7, 3, 3, 0, 49, 2, 11, 0, 0.178, 0.228, 0.237, 0.465, 0.207, 1.8
2010, SK, 29, 115, 300, 250, 38, 61, 7, 1, 3, 79, 27, 15, 2, 7, 0, 56, 1, 14, 2, 0.244, 0.332, 0.316, 0.648, 0.297, 69.5
2011, SK, 30, 114, 345, 296, 42, 70, 9, 2, 0, 83, 16, 10, 6, 1, 0, 51, 1, 21, 0, 0.236, 0.303, 0.280, 0.583, 0.267, 53.0
2012, SK, 31, 24, 77, 62, 6, 15, 2, 0, 0, 17, 3, 3, 3, 0, 0, 16, 0, 7, 1, 0.242, 0.314, 0.274, 0.589, 0.262, 56.0
2013, SK, 32, 105, 405, 332, 52, 85, 11, 3, 0, 102, 19, 24, 9, 8, 1, 76, 3, 16, 3, 0.256, 0.357, 0.307, 0.665, 0.314, 80.8
2014, SK, 33, 125, 522, 443, 74, 116, 12, 5, 2, 144, 52, 37, 7, 4, 1, 72, 8, 28, 4, 0.262, 0.330, 0.325, 0.655, 0.292, 59.2
2015, SK, 34, 119, 304, 245, 38, 64, 6, 1, 2, 78, 15, 18, 3, 5, 0, 50, 2, 22, 2, 0.261, 0.351, 0.318, 0.669, 0.297, 68.3
2016, SK, 35, 76, 172, 143, 24, 34, 5, 0, 0, 39, 16, 6, 2, 4, 0, 17, 2, 8, 2, 0.238, 0.323, 0.273, 0.596, 0.279, 48.9
