year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1984, 롯데, 23, 75, 253, 211, 30, 46, 5, 1, 1, 56, 14, 5, 8, 5, 0, 38, 3, 7, 1, 0.218, 0.325, 0.265, 0.591, 0.284, 73.8
1985, 롯데, 24, 89, 260, 219, 25, 55, 11, 1, 2, 74, 19, 7, 6, 1, 0, 26, 1, 12, 3, 0.251, 0.327, 0.338, 0.665, 0.301, 82.4
1986, 롯데, 25, 104, 337, 293, 34, 74, 7, 5, 0, 91, 16, 2, 7, 0, 1, 17, 2, 20, 1, 0.253, 0.306, 0.311, 0.617, 0.278, 72.5
1987, 롯데, 26, 78, 204, 168, 27, 40, 2, 1, 0, 44, 10, 3, 1, 0, 0, 15, 3, 14, 0, 0.238, 0.326, 0.262, 0.588, 0.274, 61.6
1988, 롯데, 27, 71, 153, 129, 12, 33, 6, 0, 0, 39, 11, 2, 4, 0, 0, 12, 4, 16, 2, 0.256, 0.285, 0.302, 0.587, 0.248, 45.5
1989, 롯데, 28, 101, 339, 275, 26, 71, 18, 1, 0, 91, 33, 5, 6, 3, 0, 18, 3, 18, 3, 0.258, 0.355, 0.331, 0.686, 0.318, 93.5
1990, 롯데, 29, 99, 305, 250, 23, 59, 15, 2, 0, 78, 34, 5, 8, 2, 1, 23, 7, 13, 5, 0.236, 0.329, 0.312, 0.641, 0.297, 77.2
1991, 롯데, 30, 21, 71, 61, 5, 18, 3, 0, 0, 21, 4, 2, 0, 3, 0, 7, 1, 2, 0, 0.295, 0.377, 0.344, 0.721, 0.340, 107.0
1992, 롯데, 31, 105, 286, 243, 22, 67, 7, 4, 1, 85, 39, 4, 2, 7, 2, 23, 4, 8, 4, 0.276, 0.350, 0.350, 0.700, 0.317, 87.1
1993, 롯데, 32, 63, 112, 97, 8, 26, 1, 0, 1, 30, 13, 2, 1, 0, 1, 9, 2, 4, 3, 0.268, 0.315, 0.309, 0.624, 0.283, 79.6
1994, 롯데, 33, 83, 181, 161, 12, 34, 3, 2, 0, 41, 18, 1, 0, 3, 1, 26, 0, 3, 2, 0.211, 0.275, 0.255, 0.530, 0.249, 52.3
1995, 롯데, 34, 28, 44, 41, 3, 9, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0.220, 0.238, 0.220, 0.458, 0.207, 27.7
