year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 현대, 20, 5, 1, 1, 1, 1, 0, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1.000, 1.000, 3.000, 4.000, 1.636, 978.5
2005, 현대, 21, 61, 112, 106, 10, 19, 3, 0, 2, 28, 8, 0, 0, 1, 0, 35, 3, 2, 0, 0.179, 0.209, 0.264, 0.473, 0.216, 20.6
2006, 현대, 22, 51, 66, 53, 10, 11, 2, 0, 1, 16, 9, 0, 1, 0, 0, 18, 2, 4, 0, 0.208, 0.323, 0.302, 0.625, 0.286, 75.6
2007, 현대, 23, 89, 235, 203, 22, 37, 6, 1, 2, 51, 17, 0, 3, 2, 0, 53, 1, 7, 1, 0.182, 0.268, 0.251, 0.519, 0.246, 42.0
2008, 히어로즈, 24, 12, 11, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.000, 0.100, 0.000, 0.100, 0.066, -78.4
2011, 넥센, 27, 52, 125, 109, 9, 24, 6, 1, 2, 38, 8, 1, 3, 1, 0, 29, 5, 2, 1, 0.220, 0.301, 0.349, 0.649, 0.301, 76.7
2012, 넥센, 28, 61, 121, 104, 11, 18, 4, 1, 1, 27, 11, 1, 1, 4, 1, 24, 3, 3, 0, 0.173, 0.271, 0.260, 0.531, 0.252, 49.3
2013, 넥센|NC, 29, 105, 357, 309, 25, 68, 21, 2, 3, 102, 35, 2, 1, 7, 0, 82, 7, 6, 4, 0.220, 0.302, 0.330, 0.632, 0.296, 68.6
, 넥센, 29, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1.000, , , 0.735, 
, NC, 29, 104, 356, 309, 25, 68, 21, 2, 3, 102, 35, 2, 1, 7, 0, 82, 7, 6, 4, 0.220, 0.300, 0.330, 0.630, 0.295, 67.8
2014, NC, 30, 114, 238, 212, 26, 58, 14, 4, 6, 98, 34, 1, 1, 6, 0, 46, 8, 3, 1, 0.274, 0.340, 0.462, 0.803, 0.352, 96.1
2015, NC, 31, 137, 466, 415, 53, 111, 15, 0, 11, 159, 46, 4, 1, 16, 0, 85, 9, 9, 3, 0.267, 0.328, 0.383, 0.711, 0.319, 81.0
2016, NC, 32, 141, 394, 351, 34, 77, 14, 0, 9, 118, 54, 0, 2, 9, 0, 91, 9, 6, 6, 0.219, 0.278, 0.336, 0.615, 0.277, 48.6
2017, NC, 33, 121, 304, 268, 29, 64, 16, 0, 6, 98, 24, 1, 0, 10, 0, 67, 8, 2, 2, 0.239, 0.318, 0.366, 0.684, 0.309, 74.8
2018, NC, 34, 67, 105, 94, 9, 17, 2, 0, 1, 22, 8, 1, 0, 0, 0, 20, 2, 0, 3, 0.181, 0.238, 0.234, 0.472, 0.219, 15.1
2019, NC, 35, 76, 169, 149, 15, 34, 9, 0, 2, 49, 15, 0, 1, 6, 1, 37, 6, 2, 2, 0.228, 0.299, 0.329, 0.628, 0.290, 69.0
2020, NC, 36, 87, 142, 121, 22, 25, 8, 0, 1, 36, 12, 1, 0, 2, 0, 33, 4, 2, 2, 0.207, 0.300, 0.298, 0.598, 0.281, 57.8
2021, NC, 37, 28, 43, 34, 6, 5, 1, 0, 0, 6, 2, 0, 0, 2, 0, 12, 0, 0, 1, 0.147, 0.302, 0.176, 0.479, 0.259, 45.6
