year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1982, 롯데, 26, 68, 232, 207, 22, 52, 8, 0, 2, 66, 19, 7, 3, 2, 0, 34, 3, 3, 1, 0.251, 0.319, 0.319, 0.638, 0.299, 79.2
1983, 롯데|MBC, 27, 43, 107, 96, 7, 16, 2, 0, 0, 18, 1, 2, 1, 3, 0, 11, 6, 2, 0, 0.167, 0.238, 0.188, 0.426, 0.209, 18.8
, 롯데, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
, MBC, 27, 43, 107, 96, 7, 16, 2, 0, 0, 18, 1, 2, 1, 3, 0, 11, 6, 2, 0, 0.167, 0.238, 0.188, 0.426, 0.209, 18.7
1984, MBC, 28, 60, 135, 119, 8, 25, 3, 0, 0, 28, 9, 1, 1, 1, 0, 19, 5, 4, 1, 0.210, 0.275, 0.235, 0.510, 0.242, 40.6
1985, MBC, 29, 64, 167, 151, 13, 33, 2, 0, 4, 47, 20, 1, 0, 0, 1, 22, 2, 1, 1, 0.219, 0.283, 0.311, 0.594, 0.279, 65.2
1986, MBC, 30, 54, 128, 108, 10, 24, 4, 1, 1, 33, 8, 0, 2, 4, 0, 21, 3, 4, 0, 0.222, 0.323, 0.306, 0.628, 0.299, 88.2
1987, MBC, 31, 53, 96, 85, 3, 18, 4, 0, 0, 22, 4, 0, 0, 0, 1, 14, 1, 4, 1, 0.212, 0.261, 0.259, 0.520, 0.237, 33.9
1988, MBC, 32, 14, 36, 36, 4, 9, 1, 0, 1, 13, 4, 0, 0, 0, 0, 6, 2, 0, 0, 0.250, 0.250, 0.361, 0.611, 0.280, 67.4
1989, MBC, 33, 62, 150, 131, 14, 26, 1, 2, 1, 34, 18, 1, 0, 0, 0, 23, 6, 5, 2, 0.198, 0.262, 0.260, 0.522, 0.247, 43.1
1991, LG, 35, 14, 29, 27, 3, 4, 0, 0, 0, 4, 1, 0, 0, 0, 0, 3, 1, 0, 1, 0.148, 0.172, 0.148, 0.321, 0.156, -21.3
