year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2003, KIA, 22, 6, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -135.6
2005, KIA, 24, 6, 10, 8, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0.250, 0.333, 0.250, 0.583, 0.261, 50.7
2006, KIA, 25, 22, 30, 27, 4, 7, 0, 0, 0, 7, 3, 0, 0, 0, 0, 7, 0, 1, 0, 0.259, 0.310, 0.259, 0.570, 0.269, 63.5
2007, KIA, 26, 41, 50, 37, 3, 4, 1, 0, 0, 5, 3, 0, 0, 1, 0, 8, 2, 2, 1, 0.108, 0.292, 0.135, 0.427, 0.228, 28.5
2008, KIA, 27, 106, 314, 264, 35, 65, 11, 1, 2, 84, 31, 5, 4, 7, 0, 46, 10, 17, 2, 0.246, 0.323, 0.318, 0.641, 0.293, 71.3
2009, KIA, 28, 57, 119, 102, 14, 23, 4, 0, 3, 36, 18, 2, 2, 3, 0, 22, 0, 1, 1, 0.225, 0.322, 0.353, 0.675, 0.310, 72.7
2010, KIA, 29, 91, 250, 198, 30, 51, 11, 0, 7, 83, 35, 1, 1, 6, 1, 53, 8, 4, 3, 0.258, 0.390, 0.419, 0.809, 0.369, 117.9
2011, KIA, 30, 111, 373, 304, 31, 73, 8, 0, 7, 102, 37, 3, 3, 5, 0, 52, 12, 13, 2, 0.240, 0.353, 0.336, 0.688, 0.322, 91.1
2012, KIA, 31, 88, 251, 207, 25, 53, 5, 0, 0, 58, 15, 2, 2, 3, 0, 34, 12, 10, 2, 0.256, 0.353, 0.280, 0.633, 0.302, 84.0
2013, KIA, 32, 98, 259, 215, 23, 55, 9, 1, 0, 66, 25, 0, 2, 3, 0, 37, 5, 4, 4, 0.256, 0.357, 0.307, 0.664, 0.321, 85.8
2014, KIA, 33, 94, 224, 185, 17, 35, 6, 0, 2, 47, 18, 0, 2, 2, 0, 28, 7, 11, 2, 0.189, 0.286, 0.254, 0.540, 0.251, 29.6
2015, KIA, 34, 11, 25, 23, 0, 4, 0, 0, 0, 4, 2, 0, 0, 0, 0, 4, 1, 0, 0, 0.174, 0.240, 0.174, 0.414, 0.208, 5.1
2016, 한화, 35, 117, 329, 276, 30, 63, 8, 0, 3, 80, 38, 0, 0, 4, 0, 57, 9, 13, 6, 0.228, 0.307, 0.290, 0.597, 0.275, 44.2
2017, 한화, 36, 52, 112, 92, 7, 19, 3, 0, 1, 25, 7, 1, 1, 3, 0, 21, 5, 4, 0, 0.207, 0.324, 0.272, 0.596, 0.280, 53.7
