year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 한화, 23, 29, 34, 32, 0, 2, 2, 0, 0, 4, 2, 0, 0, 1, 0, 11, 1, 1, 0, 0.063, 0.091, 0.125, 0.216, 0.097, -58.0
2003, 한화, 24, 25, 35, 27, 3, 4, 0, 0, 0, 4, 1, 0, 0, 0, 0, 9, 2, 2, 0, 0.148, 0.303, 0.148, 0.451, 0.230, 25.6
2004, 두산, 25, 15, 18, 14, 0, 3, 1, 0, 0, 4, 2, 0, 0, 1, 0, 4, 1, 0, 0, 0.214, 0.389, 0.286, 0.675, 0.341, 101.0
2007, 두산, 28, 91, 307, 279, 32, 66, 13, 1, 7, 102, 30, 2, 2, 10, 0, 69, 4, 8, 0, 0.237, 0.288, 0.366, 0.653, 0.298, 76.9
2008, 두산, 29, 112, 369, 339, 33, 73, 13, 4, 5, 109, 42, 0, 0, 8, 2, 53, 14, 8, 1, 0.215, 0.260, 0.322, 0.582, 0.265, 52.1
2009, 두산|삼성, 30, 49, 111, 104, 8, 20, 3, 0, 2, 29, 9, 0, 0, 0, 0, 17, 2, 3, 0, 0.192, 0.222, 0.279, 0.501, 0.222, 14.5
, 삼성, 30, 33, 87, 81, 7, 17, 3, 0, 2, 26, 9, 0, 0, 0, 0, 13, 1, 3, 0, 0.210, 0.238, 0.321, 0.559, 0.243, 28.7
, 두산, 30, 16, 24, 23, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0.130, 0.167, 0.130, 0.297, 0.147, -38.3
2010, 삼성, 31, 17, 34, 31, 5, 11, 2, 0, 1, 16, 5, 0, 0, 1, 0, 6, 0, 0, 1, 0.355, 0.382, 0.516, 0.899, 0.401, 139.2
2011, 삼성, 32, 63, 124, 109, 11, 21, 1, 1, 3, 33, 9, 1, 1, 1, 0, 20, 4, 5, 2, 0.193, 0.244, 0.303, 0.546, 0.245, 39.2
2012, 삼성, 33, 10, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -128.1
