year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, 현대, 24, 1, 5, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.200, 0.200, 0.200, 0.400, 0.185, -7.0
2001, 현대, 26, 59, 49, 42, 8, 9, 0, 0, 1, 12, 5, 1, 0, 1, 0, 12, 1, 2, 0, 0.214, 0.298, 0.286, 0.584, 0.270, 47.1
2002, 현대, 27, 100, 224, 184, 24, 42, 7, 0, 3, 58, 15, 0, 2, 12, 0, 36, 2, 12, 3, 0.228, 0.316, 0.315, 0.631, 0.278, 65.0
2003, 현대, 28, 90, 164, 137, 18, 33, 8, 0, 3, 50, 16, 0, 0, 6, 0, 31, 3, 12, 2, 0.241, 0.303, 0.365, 0.668, 0.283, 62.0
2004, 현대, 29, 128, 385, 327, 40, 90, 19, 0, 4, 121, 34, 4, 4, 14, 0, 55, 6, 21, 1, 0.275, 0.346, 0.370, 0.716, 0.319, 86.3
2005, 현대, 30, 106, 407, 342, 45, 81, 10, 1, 9, 120, 36, 1, 8, 19, 1, 40, 6, 16, 5, 0.237, 0.320, 0.351, 0.671, 0.301, 78.6
2006, 현대, 31, 97, 257, 222, 25, 47, 9, 0, 2, 62, 19, 1, 2, 7, 1, 28, 7, 14, 2, 0.212, 0.272, 0.279, 0.551, 0.249, 49.1
2007, 현대|SK, 32, 23, 47, 43, 3, 7, 1, 0, 0, 8, 2, 0, 0, 0, 0, 8, 0, 1, 0, 0.163, 0.217, 0.186, 0.403, 0.196, 6.0
, SK, 32, 6, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -139.4
, 현대, 32, 17, 37, 33, 3, 7, 1, 0, 0, 8, 2, 0, 0, 0, 0, 5, 0, 1, 0, 0.212, 0.278, 0.242, 0.520, 0.249, 43.5
2008, LG, 33, 55, 43, 41, 6, 8, 0, 0, 0, 8, 1, 1, 0, 0, 0, 3, 2, 0, 0, 0.195, 0.233, 0.195, 0.428, 0.211, 15.2
