year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, LG, 28, 95, 153, 142, 12, 35, 4, 1, 3, 50, 13, 1, 0, 0, 1, 28, 3, 0, 2, 0.246, 0.288, 0.352, 0.640, 0.286, 61.8
2001, LG, 29, 12, 13, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -138.0
2002, 두산, 30, 126, 403, 369, 69, 101, 18, 1, 13, 160, 47, 15, 7, 6, 1, 66, 5, 0, 2, 0.274, 0.330, 0.434, 0.764, 0.338, 106.9
2003, 두산, 31, 115, 344, 313, 44, 93, 16, 2, 4, 125, 28, 10, 4, 1, 1, 56, 4, 6, 4, 0.297, 0.337, 0.399, 0.737, 0.328, 93.0
2004, 두산, 32, 126, 480, 436, 49, 121, 16, 4, 5, 160, 58, 14, 8, 4, 0, 67, 7, 0, 6, 0.278, 0.331, 0.367, 0.698, 0.325, 90.1
2005, 두산, 33, 102, 379, 332, 41, 87, 17, 2, 3, 117, 38, 11, 4, 6, 0, 33, 6, 4, 5, 0.262, 0.333, 0.352, 0.686, 0.318, 89.6
2006, 두산|롯데, 34, 86, 215, 196, 14, 41, 6, 0, 2, 53, 11, 2, 2, 2, 1, 32, 2, 5, 0, 0.209, 0.262, 0.270, 0.532, 0.248, 47.4
, 롯데, 34, 59, 131, 123, 9, 21, 3, 0, 2, 30, 8, 1, 1, 1, 1, 21, 1, 3, 0, 0.171, 0.203, 0.244, 0.447, 0.204, 14.3
, 두산, 34, 27, 84, 73, 5, 20, 3, 0, 0, 23, 3, 1, 1, 1, 0, 11, 1, 2, 0, 0.274, 0.354, 0.315, 0.669, 0.316, 97.7
2007, 롯데, 35, 36, 86, 74, 3, 16, 5, 1, 0, 23, 6, 0, 0, 0, 0, 13, 1, 3, 0, 0.216, 0.301, 0.311, 0.612, 0.283, 66.0
2008, KIA, 36, 65, 142, 127, 18, 37, 10, 1, 1, 52, 15, 2, 0, 1, 0, 13, 3, 1, 1, 0.291, 0.355, 0.409, 0.764, 0.355, 114.1
2009, KIA, 37, 47, 85, 74, 14, 18, 3, 0, 1, 24, 6, 4, 0, 0, 0, 18, 2, 0, 1, 0.243, 0.329, 0.324, 0.654, 0.308, 71.1
