year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, LG, 23, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
1996, LG, 25, 51, 92, 85, 9, 17, 5, 0, 2, 28, 6, 0, 0, 0, 0, 30, 3, 1, 0, 0.200, 0.253, 0.329, 0.582, 0.268, 64.2
1997, LG, 26, 54, 130, 112, 14, 25, 5, 2, 7, 55, 21, 0, 0, 5, 0, 25, 3, 1, 2, 0.223, 0.310, 0.491, 0.801, 0.349, 118.1
1998, LG, 27, 21, 60, 57, 6, 9, 1, 0, 0, 10, 5, 0, 1, 0, 0, 12, 2, 1, 0, 0.158, 0.186, 0.175, 0.362, 0.168, -11.4
1999, LG, 28, 17, 27, 23, 2, 5, 2, 0, 0, 7, 4, 0, 0, 0, 0, 8, 1, 2, 0, 0.217, 0.280, 0.304, 0.584, 0.249, 35.1
2000, LG, 29, 29, 46, 43, 5, 11, 1, 1, 2, 20, 7, 0, 0, 0, 0, 13, 0, 0, 0, 0.256, 0.304, 0.465, 0.770, 0.336, 96.5
2001, LG, 30, 94, 173, 147, 17, 43, 9, 0, 6, 70, 31, 1, 1, 3, 2, 22, 3, 2, 2, 0.293, 0.380, 0.476, 0.856, 0.378, 119.5
2002, LG, 31, 106, 300, 268, 28, 65, 13, 0, 4, 90, 31, 3, 1, 0, 2, 59, 6, 3, 3, 0.243, 0.306, 0.336, 0.642, 0.287, 70.4
2003, LG, 32, 91, 240, 212, 12, 55, 11, 0, 2, 72, 26, 1, 2, 0, 0, 39, 6, 1, 3, 0.259, 0.331, 0.340, 0.670, 0.311, 80.7
2004, LG, 33, 123, 414, 381, 49, 98, 22, 0, 15, 165, 57, 1, 1, 2, 3, 51, 15, 4, 4, 0.257, 0.300, 0.433, 0.733, 0.324, 89.1
2005, LG, 34, 77, 229, 210, 20, 67, 17, 0, 6, 102, 36, 1, 0, 0, 1, 29, 3, 1, 1, 0.319, 0.368, 0.486, 0.854, 0.384, 135.7
2006, LG, 35, 54, 111, 100, 5, 19, 2, 0, 1, 24, 13, 0, 0, 1, 0, 21, 5, 1, 2, 0.190, 0.246, 0.240, 0.486, 0.232, 36.1
2007, LG, 36, 125, 493, 431, 49, 132, 23, 0, 12, 191, 58, 1, 1, 5, 2, 52, 16, 3, 6, 0.306, 0.378, 0.443, 0.821, 0.377, 133.7
2008, LG, 37, 110, 431, 381, 32, 101, 15, 0, 14, 158, 62, 0, 3, 9, 1, 62, 16, 5, 5, 0.265, 0.331, 0.415, 0.746, 0.342, 104.6
2009, LG, 38, 108, 386, 338, 43, 100, 16, 1, 13, 157, 65, 1, 0, 4, 3, 58, 20, 3, 7, 0.296, 0.360, 0.465, 0.825, 0.361, 107.6
2010, LG|SK, 39, 56, 121, 108, 13, 22, 2, 0, 3, 33, 13, 0, 1, 2, 1, 14, 4, 0, 3, 0.204, 0.265, 0.306, 0.570, 0.261, 45.4
, SK, 39, 27, 60, 53, 5, 12, 1, 0, 2, 19, 7, 0, 1, 2, 0, 10, 2, 0, 1, 0.226, 0.300, 0.358, 0.659, 0.304, 74.5
, LG, 39, 29, 61, 55, 8, 10, 1, 0, 1, 14, 6, 0, 0, 0, 1, 4, 2, 0, 2, 0.182, 0.230, 0.255, 0.484, 0.217, 16.2
2011, SK, 40, 80, 199, 181, 16, 55, 8, 0, 2, 69, 30, 0, 1, 2, 0, 21, 6, 2, 3, 0.304, 0.345, 0.381, 0.726, 0.338, 102.1
2012, LG, 41, 94, 287, 252, 20, 70, 8, 0, 1, 81, 37, 0, 1, 3, 3, 29, 6, 1, 5, 0.278, 0.346, 0.321, 0.668, 0.317, 95.0
2013, LG, 42, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -136.6
