year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2006, LG, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2007, LG, 19, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
2013, LG, 25, 2, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -136.6
2014, LG, 26, 20, 40, 38, 4, 10, 3, 0, 2, 19, 11, 0, 0, 0, 0, 11, 1, 0, 0, 0.263, 0.300, 0.500, 0.800, 0.344, 102.6
2015, LG, 27, 8, 31, 26, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 7, 0, 0, 1, 0.077, 0.194, 0.077, 0.271, 0.155, -28.8
2016, SK, 28, 76, 231, 199, 31, 53, 5, 0, 19, 115, 42, 0, 0, 3, 1, 66, 5, 0, 1, 0.266, 0.364, 0.578, 0.942, 0.401, 124.5
2017, SK, 29, 31, 98, 90, 11, 21, 4, 0, 6, 43, 16, 0, 0, 1, 0, 34, 3, 0, 0, 0.233, 0.296, 0.478, 0.774, 0.332, 86.7
2018, SK, 30, 27, 79, 72, 5, 18, 3, 0, 4, 33, 11, 0, 0, 1, 0, 25, 3, 0, 0, 0.250, 0.317, 0.458, 0.775, 0.334, 87.4
2019, SK, 31, 10, 24, 22, 2, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0.227, 0.292, 0.227, 0.519, 0.257, 48.0
2020, 한화, 32, 2, 4, 3, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0.333, 0.500, 0.333, 0.833, 0.426, 157.7
