year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, LG, 22, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.500, 0.000, 0.500, 0.361, 
2004, LG, 26, 7, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.145, -35.7
2005, LG, 27, 16, 27, 26, 3, 7, 2, 0, 1, 12, 4, 0, 0, 0, 0, 7, 0, 0, 0, 0.269, 0.296, 0.462, 0.758, 0.339, 104.5
2006, LG, 28, 31, 62, 57, 4, 15, 3, 0, 1, 21, 5, 0, 0, 1, 0, 15, 0, 0, 0, 0.263, 0.323, 0.368, 0.691, 0.326, 104.9
2007, LG, 29, 22, 23, 20, 1, 5, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0.250, 0.286, 0.300, 0.586, 0.255, 46.3
2008, 두산, 30, 63, 109, 100, 7, 21, 7, 0, 1, 31, 13, 0, 0, 0, 0, 18, 4, 0, 1, 0.210, 0.266, 0.310, 0.576, 0.272, 56.9
2009, 두산, 31, 84, 245, 214, 28, 45, 6, 0, 8, 75, 26, 1, 0, 2, 0, 50, 7, 5, 1, 0.210, 0.292, 0.350, 0.642, 0.288, 57.4
2010, 두산, 32, 42, 49, 44, 5, 11, 2, 0, 0, 13, 5, 0, 0, 0, 0, 8, 1, 1, 1, 0.250, 0.292, 0.295, 0.587, 0.271, 52.4
2011, 두산, 33, 17, 37, 33, 1, 4, 0, 0, 1, 7, 5, 0, 0, 1, 0, 6, 2, 1, 0, 0.121, 0.194, 0.212, 0.407, 0.194, 2.8
2012, 한화, 34, 24, 53, 46, 3, 13, 1, 0, 1, 17, 6, 0, 0, 2, 0, 11, 2, 0, 0, 0.283, 0.377, 0.370, 0.747, 0.361, 125.3
2013, 한화, 35, 10, 16, 14, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0.071, 0.188, 0.071, 0.259, 0.152, -28.8
