year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2012, LG, 24, 43, 87, 79, 9, 19, 4, 0, 0, 23, 7, 0, 0, 2, 0, 11, 1, 2, 1, 0.241, 0.282, 0.291, 0.574, 0.269, 61.1
2013, LG, 25, 6, 8, 8, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0.125, 0.125, 0.125, 0.250, 0.120, -53.8
2014, 두산, 26, 4, 7, 7, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.134, -46.6
2015, 두산, 27, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.4
2017, 삼성, 29, 14, 22, 20, 4, 4, 0, 2, 1, 11, 4, 1, 0, 0, 0, 4, 0, 1, 0, 0.200, 0.238, 0.550, 0.788, 0.303, 66.3
2018, 삼성, 30, 61, 140, 126, 13, 37, 7, 0, 4, 56, 18, 2, 4, 0, 0, 30, 6, 2, 2, 0.294, 0.341, 0.444, 0.785, 0.338, 92.3
2019, 삼성, 31, 96, 275, 251, 29, 63, 15, 1, 5, 95, 20, 4, 1, 2, 2, 47, 4, 8, 0, 0.251, 0.296, 0.378, 0.674, 0.299, 75.0
2020, 삼성, 32, 58, 118, 101, 15, 30, 3, 0, 1, 36, 11, 2, 3, 2, 0, 16, 3, 1, 1, 0.297, 0.385, 0.356, 0.741, 0.351, 104.3
2021, 삼성, 33, 44, 63, 57, 9, 16, 1, 2, 1, 24, 6, 1, 0, 1, 0, 12, 1, 0, 0, 0.281, 0.349, 0.421, 0.770, 0.360, 114.0
2022, 삼성, 34, 23, 46, 41, 1, 9, 1, 0, 0, 10, 5, 2, 1, 0, 0, 8, 0, 0, 0, 0.220, 0.304, 0.244, 0.548, 0.270, 70.1
