year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 쌍방울, 23, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -116.8
1992, 쌍방울, 24, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -123.4
1993, 쌍방울, 25, 18, 32, 28, 3, 5, 1, 0, 1, 9, 3, 0, 0, 1, 0, 4, 1, 0, 0, 0.179, 0.281, 0.321, 0.603, 0.292, 85.3
1994, 쌍방울|해태, 26, 12, 18, 16, 2, 5, 0, 0, 0, 5, 3, 0, 0, 1, 0, 5, 1, 0, 0, 0.313, 0.389, 0.313, 0.701, 0.343, 116.7
, 해태, 26, 12, 18, 16, 2, 5, 0, 0, 0, 5, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0.313, 0.313, 0.313, 0.625, 0.262, 61.2
, 쌍방울, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
1995, 해태, 27, 96, 284, 250, 17, 49, 7, 0, 2, 62, 14, 0, 2, 9, 0, 49, 5, 6, 1, 0.196, 0.273, 0.248, 0.521, 0.247, 54.7
1996, 해태, 28, 113, 331, 292, 24, 55, 12, 0, 1, 70, 27, 1, 3, 4, 0, 55, 11, 9, 1, 0.188, 0.261, 0.240, 0.501, 0.237, 44.4
1997, 해태, 29, 91, 303, 260, 25, 65, 15, 0, 1, 83, 28, 1, 4, 9, 0, 36, 6, 16, 3, 0.250, 0.310, 0.319, 0.629, 0.280, 70.0
1998, 해태, 30, 114, 355, 313, 25, 69, 9, 0, 4, 90, 31, 1, 3, 3, 0, 54, 8, 11, 3, 0.220, 0.282, 0.288, 0.570, 0.257, 55.0
1999, 해태, 31, 130, 362, 318, 36, 68, 8, 1, 7, 99, 34, 0, 2, 3, 0, 46, 16, 16, 0, 0.214, 0.278, 0.311, 0.589, 0.258, 43.3
2000, 해태, 32, 101, 289, 244, 22, 59, 9, 1, 1, 73, 25, 0, 3, 2, 0, 51, 7, 10, 0, 0.242, 0.337, 0.299, 0.636, 0.294, 68.9
