year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, MBC, 22, 58, 177, 152, 16, 44, 12, 2, 0, 60, 14, 5, 6, 1, 0, 15, 2, 4, 0, 0.289, 0.376, 0.395, 0.771, 0.362, 124.0
1990, LG, 23, 30, 44, 36, 6, 9, 3, 1, 1, 17, 5, 0, 0, 0, 0, 6, 1, 0, 0, 0.250, 0.386, 0.472, 0.859, 0.400, 147.4
1991, LG, 24, 95, 227, 200, 30, 48, 11, 2, 10, 93, 31, 0, 2, 0, 1, 25, 6, 3, 3, 0.240, 0.308, 0.465, 0.773, 0.342, 109.1
1992, LG, 25, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -134.0
1993, LG, 26, 92, 222, 198, 19, 41, 9, 1, 3, 61, 27, 0, 5, 0, 0, 21, 3, 1, 1, 0.207, 0.285, 0.308, 0.593, 0.284, 78.8
1994, LG, 27, 90, 271, 238, 34, 77, 14, 5, 6, 119, 29, 1, 1, 4, 0, 24, 6, 1, 1, 0.324, 0.400, 0.500, 0.900, 0.410, 166.1
1995, LG, 28, 64, 138, 122, 9, 27, 8, 1, 2, 43, 20, 1, 0, 3, 1, 18, 3, 1, 3, 0.221, 0.285, 0.352, 0.637, 0.287, 81.1
1996, LG, 29, 108, 322, 269, 37, 62, 15, 1, 8, 103, 37, 0, 0, 3, 2, 35, 3, 9, 3, 0.230, 0.329, 0.383, 0.712, 0.320, 101.9
1997, 해태, 30, 112, 394, 343, 56, 100, 23, 1, 12, 161, 70, 3, 7, 5, 2, 40, 10, 7, 5, 0.292, 0.359, 0.469, 0.829, 0.364, 127.4
1998, 해태, 31, 111, 424, 371, 41, 98, 13, 1, 9, 140, 49, 1, 0, 6, 2, 52, 9, 4, 7, 0.264, 0.333, 0.377, 0.711, 0.318, 97.4
1999, 두산, 32, 121, 433, 387, 52, 108, 24, 3, 8, 162, 58, 7, 1, 0, 2, 53, 9, 3, 3, 0.279, 0.344, 0.419, 0.763, 0.336, 94.1
2000, 두산, 33, 76, 124, 115, 9, 22, 4, 1, 3, 37, 10, 0, 0, 1, 0, 22, 4, 0, 1, 0.191, 0.242, 0.322, 0.564, 0.253, 39.0
2001, 두산, 34, 90, 196, 168, 18, 41, 12, 0, 0, 53, 18, 4, 0, 2, 1, 15, 6, 1, 2, 0.244, 0.339, 0.315, 0.654, 0.311, 73.6
