year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1985, 롯데, 23, 109, 406, 329, 41, 72, 9, 1, 5, 98, 27, 7, 11, 11, 0, 49, 11, 24, 0, 0.219, 0.327, 0.298, 0.625, 0.288, 72.7
1986, 롯데, 24, 89, 262, 235, 29, 53, 11, 2, 1, 71, 19, 4, 0, 4, 0, 26, 3, 7, 2, 0.226, 0.278, 0.302, 0.581, 0.272, 67.8
1987, 롯데, 25, 92, 416, 356, 50, 107, 15, 3, 6, 146, 36, 14, 5, 6, 0, 38, 7, 14, 2, 0.301, 0.376, 0.410, 0.786, 0.362, 124.0
1988, 롯데, 26, 73, 320, 269, 49, 81, 10, 2, 6, 113, 30, 23, 9, 4, 0, 27, 3, 10, 2, 0.301, 0.387, 0.420, 0.807, 0.366, 127.1
1989, 롯데, 27, 120, 516, 440, 53, 111, 23, 4, 10, 172, 59, 15, 9, 5, 3, 50, 12, 7, 6, 0.252, 0.342, 0.391, 0.733, 0.342, 109.6
1990, 롯데, 28, 113, 444, 352, 52, 80, 17, 1, 9, 126, 43, 11, 7, 12, 2, 45, 10, 8, 4, 0.227, 0.367, 0.358, 0.725, 0.344, 108.8
1991, 롯데, 29, 59, 171, 134, 21, 32, 8, 0, 3, 49, 15, 1, 2, 5, 0, 16, 2, 8, 4, 0.239, 0.350, 0.366, 0.715, 0.322, 95.6
1992, 롯데, 30, 105, 279, 217, 37, 59, 12, 1, 3, 82, 29, 8, 5, 2, 2, 22, 5, 11, 1, 0.272, 0.407, 0.378, 0.785, 0.357, 113.2
1993, 롯데, 31, 105, 279, 228, 20, 50, 11, 3, 1, 70, 24, 4, 4, 6, 1, 30, 7, 5, 1, 0.219, 0.347, 0.307, 0.654, 0.313, 100.9
1994, 롯데, 32, 75, 210, 179, 26, 52, 8, 0, 4, 72, 22, 4, 7, 5, 3, 27, 4, 0, 1, 0.291, 0.391, 0.402, 0.793, 0.369, 134.2
1995, 롯데, 33, 64, 114, 95, 6, 19, 2, 0, 0, 21, 10, 0, 3, 4, 1, 14, 1, 0, 2, 0.200, 0.316, 0.221, 0.537, 0.264, 67.0
1996, 롯데, 34, 5, 4, 4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.250, 0.250, 0.250, 0.500, 0.235, 44.0
