year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2012, SK, 23, 7, 7, 7, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.286, 0.286, 0.286, 0.571, 0.273, 63.9
2013, SK, 24, 99, 327, 285, 36, 75, 15, 2, 14, 136, 52, 2, 3, 16, 0, 82, 6, 3, 3, 0.263, 0.343, 0.477, 0.820, 0.371, 119.6
2014, SK, 25, 67, 163, 143, 17, 36, 10, 3, 3, 61, 24, 0, 0, 5, 0, 53, 1, 2, 2, 0.252, 0.323, 0.427, 0.750, 0.330, 86.0
2016, SK, 27, 6, 20, 18, 3, 5, 0, 0, 0, 5, 0, 1, 0, 1, 0, 5, 0, 0, 0, 0.278, 0.350, 0.278, 0.628, 0.312, 70.7
2017, SK, 28, 103, 414, 350, 64, 103, 21, 2, 29, 215, 73, 2, 2, 15, 2, 79, 8, 0, 3, 0.294, 0.396, 0.614, 1.010, 0.426, 149.7
2018, SK, 29, 136, 562, 486, 97, 138, 31, 0, 41, 292, 115, 4, 2, 16, 3, 124, 10, 0, 8, 0.284, 0.367, 0.601, 0.967, 0.399, 129.8
2019, SK, 30, 125, 502, 427, 52, 113, 20, 0, 12, 169, 52, 0, 1, 20, 4, 100, 6, 0, 0, 0.265, 0.375, 0.396, 0.770, 0.361, 117.2
2020, SK, 31, 62, 231, 193, 35, 48, 5, 0, 15, 98, 31, 2, 0, 6, 1, 49, 8, 0, 2, 0.249, 0.364, 0.508, 0.871, 0.383, 121.2
2021, SSG, 32, 135, 519, 442, 71, 123, 18, 1, 31, 236, 95, 1, 0, 10, 4, 96, 11, 1, 6, 0.278, 0.373, 0.534, 0.907, 0.404, 138.6
2022, SSG, 33, 36, 151, 128, 23, 42, 14, 1, 5, 73, 34, 0, 0, 4, 2, 29, 1, 0, 1, 0.328, 0.424, 0.570, 0.994, 0.445, 187.8
