year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 삼성, 23, 20, 22, 22, 2, 5, 0, 0, 1, 8, 2, 0, 0, 0, 0, 5, 2, 0, 0, 0.227, 0.227, 0.364, 0.591, 0.258, 51.4
2003, 삼성, 24, 34, 61, 54, 4, 9, 2, 0, 0, 11, 4, 0, 0, 1, 0, 5, 0, 2, 1, 0.167, 0.220, 0.204, 0.424, 0.197, 3.5
2004, 삼성, 25, 77, 234, 210, 29, 45, 10, 0, 4, 67, 20, 2, 3, 1, 0, 26, 5, 10, 1, 0.214, 0.259, 0.319, 0.578, 0.257, 43.9
2007, 삼성, 28, 6, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.333, 0.000, 0.333, 0.240, 36.5
2008, 삼성, 29, 67, 138, 125, 9, 31, 9, 0, 2, 46, 19, 2, 0, 0, 0, 13, 0, 4, 3, 0.248, 0.276, 0.368, 0.644, 0.287, 67.9
2009, 삼성, 30, 99, 282, 245, 28, 59, 13, 2, 2, 82, 20, 4, 5, 6, 0, 28, 6, 9, 1, 0.241, 0.315, 0.335, 0.650, 0.294, 62.5
2010, 삼성, 31, 53, 92, 78, 4, 15, 1, 0, 1, 19, 7, 1, 1, 1, 1, 14, 2, 3, 0, 0.192, 0.292, 0.244, 0.536, 0.252, 40.3
2011, 삼성, 32, 38, 70, 61, 7, 13, 1, 0, 0, 14, 5, 0, 0, 2, 0, 7, 0, 4, 0, 0.213, 0.273, 0.230, 0.502, 0.236, 32.7
2013, LG, 34, 53, 126, 100, 10, 26, 5, 0, 1, 34, 8, 1, 2, 3, 0, 14, 3, 13, 0, 0.260, 0.345, 0.340, 0.685, 0.297, 69.2
2014, LG, 35, 14, 16, 15, 3, 8, 2, 0, 0, 10, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0.533, 0.563, 0.667, 1.229, 0.557, 233.0
