year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 태평양, 18, 5, 6, 5, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0.200, 0.200, 0.200, 0.400, 0.157, -20.6
1993, 태평양, 19, 18, 23, 22, 1, 7, 1, 0, 0, 8, 1, 0, 0, 1, 0, 4, 0, 0, 0, 0.318, 0.348, 0.364, 0.712, 0.340, 120.8
1994, 태평양, 20, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -118.5
1995, 태평양, 21, 24, 52, 41, 4, 12, 5, 0, 2, 23, 6, 0, 2, 3, 0, 7, 0, 0, 0, 0.293, 0.431, 0.561, 0.992, 0.436, 186.0
1998, 현대, 24, 6, 5, 5, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0.200, 0.200, 0.200, 0.400, 0.185, 3.3
1999, 현대, 25, 11, 35, 30, 3, 7, 1, 0, 1, 11, 2, 0, 1, 0, 0, 11, 0, 2, 0, 0.233, 0.303, 0.367, 0.670, 0.284, 59.3
2000, 현대, 26, 23, 60, 52, 9, 11, 5, 1, 1, 21, 5, 1, 0, 3, 0, 18, 0, 0, 1, 0.212, 0.300, 0.404, 0.704, 0.313, 80.9
2001, 현대, 27, 22, 43, 38, 2, 5, 0, 1, 1, 10, 6, 1, 0, 2, 0, 9, 0, 1, 1, 0.132, 0.191, 0.263, 0.454, 0.201, 1.4
2002, 현대, 28, 25, 39, 37, 6, 12, 4, 1, 1, 21, 9, 1, 0, 1, 0, 8, 0, 0, 0, 0.324, 0.359, 0.568, 0.927, 0.401, 150.4
2003, 현대|KIA, 29, 64, 117, 95, 5, 17, 2, 0, 2, 25, 12, 2, 2, 3, 0, 20, 2, 4, 1, 0.179, 0.301, 0.263, 0.564, 0.265, 49.6
, 현대, 29, 22, 59, 47, 3, 9, 2, 0, 1, 14, 7, 2, 1, 2, 0, 11, 0, 4, 0, 0.191, 0.309, 0.298, 0.607, 0.271, 53.8
, KIA, 29, 42, 58, 48, 2, 8, 0, 0, 1, 11, 5, 0, 1, 1, 0, 9, 2, 0, 1, 0.167, 0.293, 0.229, 0.522, 0.259, 45.1
2004, 두산, 30, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -137.8
2005, 두산, 31, 55, 137, 119, 16, 29, 4, 1, 3, 44, 9, 0, 0, 3, 0, 22, 3, 0, 0, 0.244, 0.343, 0.370, 0.713, 0.335, 101.5
