year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 태평양, 20, 0, 0, 0, 0, 0, 0, 0, 4.0, 1, 1, 16, 3, , 1, 1, 0, 0, 3, 0, 0, 2.25, 5.19, 1.00, 174.0
1992, 태평양, 21, 1, 0, 14, 7, 9, 0, 0, 107.0, 69, 65, 474, 128, , 10, 47, 0, 4, 49, 0, 3, 5.47, 4.51, 1.64, 79.0
1993, 태평양, 22, 5, 0, 15, 7, 6, 3, 0, 128.2, 51, 48, 521, 111, , 9, 34, 5, 3, 57, 0, 4, 3.36, 3.23, 1.13, 97.0
1994, 태평양, 23, 0, 0, 0, 1, 0, 0, 0, 34.0, 21, 19, 154, 44, , 3, 8, 0, 1, 15, 0, 1, 5.03, 3.87, 1.53, 76.4
1995, 태평양, 24, 3, 1, 16, 4, 7, 0, 0, 97.0, 59, 54, 415, 109, , 11, 23, 2, 1, 55, 0, 1, 5.01, 3.83, 1.36, 74.1
1996, 현대, 25, 0, 0, 16, 8, 6, 6, 0, 133.1, 59, 50, 538, 111, , 10, 31, 5, 10, 93, 0, 4, 3.38, 3.18, 1.07, 108.7
1997, 현대, 26, 0, 0, 6, 4, 0, 0, 0, 65.1, 46, 43, 298, 80, , 11, 22, 0, 3, 38, 0, 1, 5.92, 5.05, 1.56, 67.4
1998, 현대,쌍방울, 27, 0, 0, 3, 1, 3, 1, 0, 40.1, 20, 19, 162, 36, , 4, 8, 0, 4, 18, 0, 1, 4.24, 4.19, 1.09, 93.7
, 현대, 27, 0, 0, 1, 0, 1, 0, 0, 13.0, 8, 8, 52, 13, , 2, 2, 0, 1, 7, 0, 0, 5.54, 4.51, 1.15, 71.8
, 쌍방울, 27, 0, 0, 2, 1, 2, 1, 0, 27.1, 12, 11, 110, 23, , 2, 6, 0, 3, 11, 0, 1, 3.62, 4.03, 1.06, 109.7
1999, 쌍방울, 28, 0, 0, 6, 0, 10, 4, 0, 116.0, 78, 73, 529, 130, , 19, 48, 4, 14, 82, 0, 10, 5.66, 5.49, 1.53, 87.1
2000, SK, 29, 0, 0, 0, 0, 0, 0, 0, 21.2, 18, 18, 101, 32, , 7, 4, 0, 1, 16, 0, 2, 7.48, 6.58, 1.66, 62.1
2001, SK,해태/KIA, 30, 0, 0, 3, 1, 2, 1, 0, 41.0, 32, 27, 185, 46, , 8, 17, 0, 3, 24, 0, 1, 5.93, 5.94, 1.54, 80.2
, 해태/KIA, 30, 0, 0, 3, 1, 2, 1, 0, 39.1, 29, 24, 175, 43, , 7, 15, 0, 3, 21, 0, 0, 5.49, 5.73, 1.48, 86.6
, SK, 30, 0, 0, 0, 0, 0, 0, 0, 1.2, 3, 3, 10, 3, , 1, 2, 0, 0, 3, 0, 1, 16.20, 10.91, 3.00, 29.1
2002, KIA, 31, 0, 0, 3, 1, 0, 0, 1, 25.0, 11, 7, 115, 32, , 2, 8, 0, 2, 18, 0, 1, 2.52, 3.80, 1.60, 169.0
2003, KIA, 32, 0, 0, 0, 0, 0, 0, 0, 4.2, 4, 4, 22, 7, , 0, 0, 0, 1, 3, 0, 0, 7.71, 2.12, 1.50, 55.5
