year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 롯데, 23, 3, 1, 13, 7, 6, 0, 0, 93.2, 42, 37, 392, 95, , 11, 30, 4, 2, 63, 0, 1, 3.56, 3.89, 1.34, 108.5
1995, 롯데, 24, 3, 3, 16, 7, 5, 0, 0, 102.0, 44, 38, 414, 97, , 6, 20, 0, 6, 64, 0, 1, 3.35, 3.08, 1.15, 113.1
1996, 롯데, 25, 4, 0, 27, 9, 10, 1, 0, 176.2, 87, 78, 751, 185, , 10, 51, 3, 8, 104, 1, 5, 3.97, 3.30, 1.34, 94.9
1997, 롯데, 26, 1, 0, 15, 3, 11, 3, 0, 101.2, 65, 58, 467, 129, , 7, 45, 2, 7, 70, 0, 4, 5.13, 3.87, 1.71, 79.8
1998, 롯데, 27, 0, 0, 7, 4, 8, 5, 0, 111.0, 59, 55, 469, 97, , 16, 43, 2, 11, 85, 0, 2, 4.46, 4.64, 1.26, 90.8
1999, 롯데, 28, 0, 0, 1, 5, 7, 19, 0, 77.2, 26, 24, 322, 62, , 7, 32, 5, 6, 66, 0, 3, 2.78, 4.02, 1.21, 180.5
2000, 롯데, 29, 0, 0, 0, 6, 8, 23, 0, 71.0, 19, 14, 274, 48, , 5, 22, 2, 1, 66, 0, 1, 1.77, 3.10, 0.99, 261.9
2001, 롯데, 30, 0, 0, 0, 6, 7, 10, 4, 89.0, 52, 47, 392, 81, , 12, 48, 7, 4, 62, 0, 3, 4.75, 4.99, 1.45, 98.6
2002, 롯데, 31, 0, 0, 2, 2, 7, 7, 2, 55.0, 34, 28, 261, 63, , 6, 36, 5, 5, 33, 0, 2, 4.58, 5.18, 1.80, 91.8
2003, 롯데, 32, 0, 0, 3, 2, 3, 6, 1, 54.0, 35, 33, 238, 54, , 15, 29, 0, 2, 47, 0, 0, 5.50, 6.35, 1.54, 77.0
2004, 롯데, 33, 0, 0, 0, 0, 1, 0, 4, 35.0, 16, 16, 161, 41, , 5, 20, 3, 1, 17, 0, 1, 4.11, 5.38, 1.74, 103.8
2005, 롯데, 34, 0, 0, 0, 0, 0, 1, 0, 29.1, 27, 27, 149, 35, , 4, 22, 1, 6, 17, 0, 0, 8.28, 6.39, 1.94, 49.7
2006, LG, 35, 0, 0, 0, 1, 0, 0, 1, 14.2, 13, 13, 71, 23, , 2, 6, 0, 1, 11, 0, 1, 7.98, 4.41, 1.98, 44.4
