year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 해태, 19, 0, 0, 5, 0, 4, 0, 1, 46.1, 39, 36, 212, 50, , 8, 26, 0, 1, 38, 0, 7, 6.99, 5.51, 1.64, 66.8
2001, 삼성, 20, 0, 0, 0, 0, 0, 0, 0, 4.2, 2, 0, 22, 6, , 0, 3, 0, 0, 1, 0, 2, 0.00, 4.61, 1.93, 
2002, 삼성, 21, 0, 0, 14, 6, 3, 0, 0, 95.0, 44, 40, 408, 83, , 11, 46, 1, 4, 88, 0, 5, 3.79, 4.20, 1.36, 113.8
2003, 삼성, 22, 0, 0, 4, 1, 2, 0, 6, 42.2, 20, 20, 193, 40, , 3, 25, 1, 0, 40, 0, 2, 4.22, 3.49, 1.52, 103.4
2004, 삼성, 23, 0, 0, 0, 2, 2, 1, 5, 13.1, 9, 9, 64, 15, , 1, 7, 0, 1, 14, 0, 0, 6.08, 3.62, 1.65, 71.4
2005, 삼성, 24, 0, 0, 0, 0, 0, 0, 7, 31.2, 18, 17, 149, 26, , 4, 27, 0, 3, 37, 0, 4, 4.83, 5.16, 1.67, 88.1
2006, 삼성, 25, 0, 0, 0, 1, 0, 0, 1, 31.0, 19, 16, 136, 21, , 1, 23, 0, 3, 35, 0, 2, 4.65, 3.38, 1.42, 77.9
2007, 롯데, 26, 0, 0, 0, 0, 0, 0, 5, 35.0, 15, 15, 145, 27, , 5, 13, 0, 1, 39, 0, 4, 3.86, 3.66, 1.14, 99.2
2008, 롯데, 27, 0, 0, 0, 6, 2, 2, 16, 56.1, 21, 18, 213, 35, , 6, 13, 1, 1, 41, 0, 4, 2.88, 3.77, 0.85, 140.1
2009, 롯데, 28, 0, 0, 1, 4, 3, 2, 8, 48.1, 28, 26, 218, 51, , 6, 28, 3, 1, 31, 0, 3, 4.84, 5.13, 1.63, 98.9
2010, 롯데, 29, 0, 0, 0, 3, 3, 2, 7, 52.2, 28, 26, 230, 50, , 6, 24, 7, 1, 58, 1, 5, 4.44, 3.59, 1.41, 104.1
2011, 롯데, 30, 0, 0, 0, 2, 1, 1, 16, 41.0, 16, 16, 177, 35, , 5, 22, 1, 2, 39, 1, 5, 3.51, 4.56, 1.39, 119.5
2012, 롯데, 31, 0, 0, 0, 2, 0, 0, 10, 41.2, 19, 18, 182, 41, , 2, 19, 2, 0, 49, 0, 2, 3.89, 2.60, 1.44, 98.6
2013, 롯데, 32, 0, 0, 0, 1, 3, 1, 9, 39.2, 17, 17, 168, 32, , 1, 19, 0, 2, 40, 0, 4, 3.86, 3.25, 1.29, 113.3
2014, 롯데, 33, 0, 0, 0, 2, 5, 0, 14, 47.0, 25, 25, 203, 46, 1, 4, 24, 0, 2, 42, 0, 4, 4.79, 4.83, 1.49, 113.9
2015, 롯데, 34, 0, 0, 0, 2, 1, 2, 6, 38.2, 21, 18, 159, 40, 0, 6, 10, 0, 0, 46, 0, 2, 4.19, 4.03, 1.29, 120.3
2016, 롯데, 35, 0, 0, 0, 0, 2, 0, 5, 11.2, 8, 7, 55, 13, 0, 2, 9, 0, 0, 11, 0, 0, 5.40, 6.45, 1.89, 96.8
2017, 롯데, 36, 0, 0, 0, 0, 1, 0, 0, 2.1, 2, 1, 13, 4, 0, 0, 1, 0, 0, 2, 0, 0, 3.86, 3.31, 2.14, 130.6
