year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 해태, 18, 1, 0, 2, 0, 3, 0, 0, 22.2, 22, 22, 104, 32, , 5, 7, 1, 1, 13, 1, 1, 8.74, 5.25, 1.72, 41.9
1990, 해태, 19, 0, 0, 0, 1, 0, 0, 0, 35.2, 33, 29, 162, 45, , 7, 10, 0, 2, 11, 0, 0, 7.32, 5.51, 1.54, 52.1
1991, 해태, 20, 0, 0, 1, 0, 0, 0, 0, 17.0, 18, 14, 94, 34, , 3, 8, 1, 3, 13, 1, 0, 7.41, 5.22, 2.47, 53.6
1992, 해태, 21, 0, 0, 0, 0, 0, 0, 0, 7.2, 10, 10, 39, 15, , 3, 3, 0, 0, 8, 0, 0, 11.74, 6.95, 2.35, 36.8
1993, 해태, 22, 0, 0, 4, 2, 1, 1, 0, 46.0, 23, 19, 201, 47, , 6, 17, 0, 0, 17, 0, 2, 3.72, 4.53, 1.39, 89.3
1994, 해태, 23, 2, 0, 12, 3, 4, 0, 0, 81.2, 33, 31, 333, 72, , 2, 21, 1, 6, 44, 0, 2, 3.42, 3.01, 1.14, 112.3
1995, 해태, 24, 0, 0, 5, 4, 3, 2, 0, 86.2, 32, 24, 363, 81, , 6, 24, 0, 6, 62, 0, 3, 2.49, 3.32, 1.21, 151.3
1996, 해태, 25, 0, 0, 10, 4, 3, 0, 0, 81.0, 32, 25, 329, 70, , 4, 27, 1, 2, 58, 0, 1, 2.78, 3.03, 1.20, 134.6
1997, 해태, 26, 0, 0, 6, 1, 3, 2, 0, 70.1, 28, 25, 282, 56, , 7, 28, 2, 3, 40, 1, 2, 3.20, 4.27, 1.19, 127.4
1998, 해태, 27, 0, 0, 0, 1, 0, 1, 0, 24.1, 21, 20, 114, 31, , 5, 8, 1, 2, 12, 0, 4, 7.40, 5.69, 1.60, 54.7
1999, 해태, 28, 0, 0, 3, 0, 2, 0, 0, 31.0, 23, 22, 139, 37, , 9, 8, 0, 7, 23, 0, 0, 6.39, 7.01, 1.45, 79.5
2000, 해태, 29, 0, 0, 2, 0, 2, 0, 6, 33.0, 18, 16, 137, 29, , 6, 14, 0, 2, 38, 0, 0, 4.36, 4.67, 1.30, 107.0
2001, 해태/KIA, 30, 0, 0, 1, 0, 3, 0, 0, 10.1, 10, 10, 50, 14, , 3, 6, 0, 2, 8, 0, 0, 8.71, 7.66, 1.94, 54.6
