year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 삼성, 21, 0, 0, 8, 2, 2, 0, 0, 45.1, 23, 18, 198, 32, , 4, 33, 0, 5, 28, 0, 4, 3.57, 5.24, 1.43, 107.6
1995, 삼성, 22, 0, 0, 3, 1, 2, 1, 0, 59.0, 37, 34, 270, 66, , 4, 22, 0, 10, 40, 0, 2, 5.19, 3.96, 1.49, 72.9
1996, 삼성, 23, 0, 0, 0, 0, 0, 0, 0, 26.2, 23, 21, 131, 35, , 5, 15, 1, 2, 9, 0, 1, 7.09, 6.35, 1.88, 53.3
1997, 삼성, 24, 0, 0, 3, 0, 1, 1, 0, 57.0, 31, 20, 248, 56, , 0, 19, 2, 4, 50, 0, 3, 3.16, 2.22, 1.32, 131.2
1998, 삼성, 25, 0, 0, 5, 7, 3, 5, 0, 111.1, 51, 45, 469, 89, , 18, 47, 5, 8, 98, 1, 8, 3.64, 4.59, 1.22, 112.9
1999, 해태, 26, 0, 0, 4, 8, 7, 8, 0, 109.1, 59, 58, 459, 97, , 13, 40, 2, 6, 101, 2, 4, 4.77, 4.18, 1.25, 106.3
2000, 해태, 27, 0, 0, 4, 4, 5, 0, 0, 38.0, 17, 15, 156, 34, , 6, 14, 2, 0, 24, 0, 0, 3.55, 4.90, 1.26, 131.5
2001, 해태/KIA, 28, 0, 0, 0, 0, 1, 0, 0, 9.0, 14, 13, 50, 16, , 3, 5, 1, 2, 8, 1, 2, 13.00, 7.67, 2.33, 36.6
2002, KIA, 29, 0, 0, 0, 0, 0, 0, 1, 14.2, 8, 7, 58, 12, , 4, 2, 0, 2, 8, 0, 3, 4.30, 6.27, 0.96, 99.1
2003, 두산, 30, 0, 0, 7, 1, 4, 0, 0, 35.1, 25, 23, 157, 43, , 4, 4, 0, 5, 11, 0, 0, 5.86, 4.37, 1.33, 71.0
