year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, OB, 23, 0, 0, 9, 4, 4, 0, 0, 79.1, 49, 44, 355, 88, , 9, 37, 1, 8, 54, 0, 4, 4.99, 4.56, 1.58, 83.2
1993, OB, 24, 5, 2, 21, 10, 8, 0, 0, 134.1, 49, 45, 547, 103, , 6, 60, 0, 3, 84, 0, 9, 3.01, 3.20, 1.21, 103.9
1994, OB, 25, 5, 3, 19, 6, 7, 0, 0, 100.1, 42, 36, 421, 92, , 5, 38, 2, 3, 59, 0, 4, 3.23, 3.45, 1.30, 112.7
1995, OB, 26, 4, 0, 28, 15, 8, 0, 0, 193.1, 65, 53, 776, 147, , 8, 61, 0, 8, 112, 1, 6, 2.47, 3.26, 1.08, 144.3
1997, OB, 28, 0, 0, 1, 3, 2, 0, 0, 29.1, 12, 9, 116, 22, , 0, 8, 0, 2, 25, 0, 4, 2.76, 2.19, 1.02, 141.3
1998, OB, 29, 0, 0, 7, 1, 3, 0, 0, 26.0, 22, 20, 121, 30, , 5, 10, 0, 4, 18, 0, 3, 6.92, 5.63, 1.54, 55.6
2000, SK, 31, 0, 0, 8, 1, 5, 0, 0, 45.0, 50, 45, 229, 68, , 9, 24, 2, 5, 27, 0, 3, 9.00, 6.36, 2.04, 51.6
2001, SK, 32, 0, 0, 1, 0, 1, 0, 1, 26.0, 14, 11, 112, 25, , 2, 7, 0, 3, 16, 0, 2, 3.81, 4.03, 1.23, 123.6
2002, SK, 33, 0, 0, 0, 2, 4, 1, 1, 54.2, 38, 36, 246, 63, , 11, 19, 2, 4, 36, 0, 0, 5.93, 5.45, 1.50, 71.0
2003, 두산, 34, 0, 0, 8, 3, 3, 0, 1, 79.1, 40, 37, 347, 89, , 8, 23, 1, 4, 45, 0, 5, 4.20, 3.92, 1.41, 99.1
2004, 두산, 35, 0, 0, 1, 0, 0, 0, 1, 12.1, 5, 5, 53, 9, , 0, 6, 0, 2, 6, 0, 0, 3.65, 3.92, 1.22, 114.8
