year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, SK, 20, 0, 0, 8, 2, 2, 0, 0, 42.2, 38, 34, 199, 49, , 9, 19, 0, 9, 24, 0, 4, 7.17, 6.70, 1.59, 65.6
2002, SK, 21, 0, 0, 0, 0, 1, 0, 0, 5.1, 2, 2, 30, 7, , 0, 5, 0, 2, 6, 0, 0, 3.38, 4.69, 2.25, 124.7
2003, SK, 22, 0, 0, 1, 2, 1, 0, 3, 60.0, 29, 23, 267, 58, , 6, 32, 2, 5, 44, 0, 2, 3.45, 4.34, 1.50, 120.9
2004, SK, 23, 0, 0, 5, 3, 3, 1, 6, 99.0, 42, 39, 426, 99, , 10, 43, 3, 10, 53, 1, 7, 3.55, 4.71, 1.43, 118.6
2005, KIA, 24, 0, 0, 0, 1, 3, 0, 3, 31.1, 28, 25, 154, 39, , 5, 16, 1, 6, 19, 0, 3, 7.18, 5.89, 1.76, 59.2
2006, KIA, 25, 0, 0, 2, 0, 1, 0, 0, 18.0, 12, 9, 84, 23, , 1, 10, 0, 0, 7, 0, 1, 4.50, 4.31, 1.83, 80.5
2007, KIA, 26, 0, 0, 3, 2, 2, 0, 0, 33.0, 22, 21, 151, 35, , 3, 17, 2, 3, 17, 0, 4, 5.73, 4.62, 1.58, 68.6
2010, KIA, 29, 0, 0, 2, 3, 5, 1, 3, 77.0, 53, 45, 358, 87, , 5, 34, 2, 7, 61, 1, 5, 5.26, 4.07, 1.57, 86.7
2011, KIA, 30, 0, 0, 8, 2, 5, 0, 3, 67.1, 39, 38, 299, 67, , 5, 30, 0, 9, 42, 1, 3, 5.08, 4.65, 1.44, 81.4
2012, KIA,삼성, 31, 0, 0, 0, 0, 0, 0, 2, 34.0, 23, 20, 159, 41, , 2, 15, 0, 3, 27, 0, 0, 5.29, 3.87, 1.65, 72.1
, 삼성, 31, 0, 0, 0, 0, 0, 0, 2, 16.1, 8, 7, 69, 13, , 0, 4, 0, 2, 14, 0, 0, 3.86, 2.49, 1.04, 99.0
, KIA, 31, 0, 0, 0, 0, 0, 0, 0, 17.2, 15, 13, 90, 28, , 2, 11, 0, 1, 13, 0, 0, 6.62, 5.14, 2.21, 57.1
2013, 삼성, 32, 0, 0, 0, 1, 0, 0, 0, 14.1, 20, 20, 84, 31, , 1, 11, 0, 0, 12, 0, 0, 12.56, 4.88, 2.93, 34.1
2014, 삼성, 33, 0, 0, 0, 0, 0, 0, 0, 36.1, 27, 22, 166, 42, 0, 2, 9, 1, 8, 23, 0, 4, 5.45, 4.63, 1.40, 97.0
2015, 삼성, 34, 0, 0, 1, 1, 1, 0, 0, 16.1, 11, 11, 83, 26, 0, 1, 8, 0, 1, 6, 0, 0, 6.06, 5.33, 2.08, 81.5
2016, 삼성, 35, 0, 0, 3, 1, 0, 0, 0, 9.2, 5, 4, 44, 9, 0, 1, 3, 0, 1, 7, 0, 0, 3.72, 4.93, 1.24, 141.6
