year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, OB, 22, 0, 0, 1, 9, 3, 23, 0, 129.1, 17, 16, 500, 77, , 3, 50, 5, 7, 126, 1, 2, 1.11, 2.02, 0.98, 281.4
1994, OB, 23, 0, 0, 2, 1, 2, 4, 0, 36.1, 22, 20, 149, 33, , 6, 12, 0, 1, 22, 0, 1, 4.95, 4.82, 1.24, 73.5
1995, OB, 24, 0, 0, 0, 6, 3, 15, 0, 73.2, 27, 24, 299, 47, , 6, 38, 5, 2, 65, 2, 2, 2.93, 3.53, 1.15, 121.4
1996, OB, 25, 0, 0, 1, 3, 7, 9, 0, 47.1, 19, 18, 199, 40, , 3, 20, 5, 1, 42, 0, 3, 3.42, 2.85, 1.27, 103.7
1997, OB, 26, 0, 0, 0, 3, 2, 24, 0, 73.1, 18, 16, 292, 49, , 2, 22, 5, 6, 73, 0, 1, 1.96, 2.18, 0.97, 198.7
1998, OB, 27, 0, 0, 2, 6, 6, 5, 0, 53.2, 20, 18, 220, 45, , 5, 18, 4, 2, 37, 0, 1, 3.02, 3.62, 1.17, 127.6
1999, 두산,한화, 28, 0, 0, 10, 3, 3, 0, 0, 81.2, 57, 51, 361, 89, , 8, 34, 2, 8, 38, 0, 1, 5.62, 5.08, 1.51, 90.7
, 한화, 28, 0, 0, 10, 2, 2, 0, 0, 60.2, 46, 41, 274, 72, , 6, 23, 2, 7, 25, 0, 1, 6.08, 5.12, 1.57, 83.8
, 두산, 28, 0, 0, 0, 1, 1, 0, 0, 21.0, 11, 10, 87, 17, , 2, 11, 0, 1, 13, 0, 0, 4.29, 4.99, 1.33, 112.5
2000, 한화, 29, 0, 0, 14, 4, 9, 0, 1, 82.1, 61, 58, 387, 94, , 14, 50, 0, 4, 39, 0, 2, 6.34, 6.39, 1.75, 75.0
2001, 한화, 30, 0, 0, 0, 1, 1, 0, 5, 22.1, 21, 16, 99, 22, , 4, 8, 0, 5, 16, 0, 0, 6.45, 5.75, 1.34, 75.8
