year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 쌍방울, 23, 0, 0, 0, 2, 1, 0, 0, 33.1, 18, 16, 145, 35, , 3, 17, 2, 3, 6, 0, 2, 4.32, 5.12, 1.56, 95.0
1992, 쌍방울, 24, 0, 0, 4, 2, 2, 0, 0, 44.1, 27, 17, 198, 39, , 5, 21, 0, 7, 16, 0, 1, 3.45, 5.42, 1.35, 126.6
1993, 쌍방울, 25, 0, 0, 0, 0, 0, 0, 0, 5.2, 12, 9, 38, 18, , 0, 2, 0, 0, 3, 0, 0, 14.29, 2.47, 3.53, 22.9
1994, 쌍방울, 26, 1, 1, 9, 5, 5, 2, 0, 114.0, 62, 55, 477, 116, , 10, 29, 0, 6, 55, 0, 0, 4.34, 3.91, 1.27, 86.3
1995, 쌍방울, 27, 1, 0, 1, 9, 7, 12, 0, 116.1, 38, 35, 475, 98, , 9, 31, 7, 9, 90, 0, 1, 2.71, 3.12, 1.11, 137.9
1996, 쌍방울, 28, 2, 1, 10, 9, 4, 4, 0, 112.2, 34, 30, 463, 95, , 5, 29, 6, 14, 66, 0, 2, 2.40, 3.18, 1.10, 153.7
1997, 쌍방울, 29, 1, 0, 20, 7, 6, 0, 0, 105.0, 64, 61, 450, 110, , 15, 28, 2, 14, 49, 0, 2, 5.23, 4.94, 1.31, 76.8
1998, 쌍방울, 30, 1, 0, 21, 12, 11, 3, 0, 138.0, 63, 54, 576, 142, , 12, 27, 2, 8, 89, 0, 1, 3.52, 3.45, 1.23, 112.8
1999, 쌍방울, 31, 1, 0, 26, 2, 12, 1, 0, 150.0, 80, 75, 652, 184, , 17, 30, 3, 12, 84, 0, 0, 4.50, 4.41, 1.43, 109.6
2000, SK, 32, 0, 0, 24, 5, 10, 1, 1, 138.0, 86, 80, 603, 167, , 27, 33, 2, 7, 72, 0, 2, 5.22, 5.49, 1.45, 89.0
2001, SK, 33, 0, 0, 14, 3, 10, 0, 0, 67.2, 45, 39, 295, 77, , 17, 16, 0, 6, 41, 0, 0, 5.19, 6.14, 1.37, 90.7
2002, SK, 34, 0, 0, 0, 0, 0, 0, 0, 23.0, 8, 8, 95, 24, , 1, 5, 1, 3, 12, 0, 0, 3.13, 3.44, 1.26, 134.4
