year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, MBC, 24, 2, 0, 15, 7, 8, 0, 0, 103.2, 61, 54, 451, 101, , 7, 52, 0, 1, 42, 1, 3, 4.69, 4.20, 1.48, 77.6
1990, LG, 25, 1, 0, 9, 5, 5, 0, 0, 64.0, 26, 20, 266, 52, , 6, 26, 1, 1, 27, 0, 0, 2.81, 4.16, 1.22, 133.4
1991, LG, 26, 4, 2, 20, 12, 9, 3, 0, 164.2, 65, 54, 696, 155, , 8, 62, 4, 5, 104, 0, 4, 2.95, 3.21, 1.32, 130.6
1992, LG, 27, 6, 1, 19, 8, 6, 3, 0, 145.0, 57, 48, 603, 130, , 6, 50, 4, 3, 92, 0, 3, 2.98, 3.06, 1.24, 140.0
1993, LG, 28, 2, 1, 25, 9, 9, 0, 0, 156.0, 51, 45, 639, 133, , 10, 53, 2, 8, 93, 0, 0, 2.60, 3.24, 1.19, 121.7
1994, LG, 29, 0, 0, 11, 3, 3, 0, 0, 63.0, 37, 34, 266, 68, , 3, 21, 0, 4, 33, 0, 4, 4.86, 3.57, 1.41, 75.0
1995, LG, 30, 1, 0, 26, 13, 7, 0, 0, 160.2, 59, 51, 658, 137, , 9, 52, 0, 9, 87, 1, 6, 2.86, 3.59, 1.18, 124.6
1996, LG, 31, 2, 0, 19, 4, 10, 0, 0, 103.0, 55, 49, 448, 97, , 7, 55, 2, 5, 62, 0, 0, 4.28, 4.16, 1.48, 83.5
1997, LG, 32, 0, 0, 5, 1, 2, 0, 0, 38.0, 29, 25, 173, 38, , 4, 22, 5, 3, 28, 0, 2, 5.92, 4.35, 1.58, 65.6
1998, LG, 33, 0, 0, 0, 0, 2, 1, 0, 36.1, 25, 21, 170, 43, , 3, 16, 3, 3, 28, 0, 1, 5.20, 3.75, 1.62, 74.4
1999, LG, 34, 0, 0, 0, 0, 0, 1, 0, 21.1, 13, 12, 101, 28, , 4, 9, 1, 2, 19, 0, 0, 5.06, 5.33, 1.73, 96.0
