year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, LG, 20, 0, 0, 1, 0, 0, 0, 0, 8.0, 5, 5, 35, 8, , 0, 4, 0, 0, 4, 0, 0, 5.63, 3.37, 1.50, 69.1
1998, LG, 21, 0, 0, 9, 1, 4, 0, 0, 56.1, 48, 48, 263, 72, , 9, 31, 2, 1, 39, 0, 6, 7.67, 5.19, 1.83, 50.4
1999, LG, 22, 0, 0, 3, 4, 2, 1, 0, 37.2, 19, 19, 163, 37, , 7, 12, 0, 3, 37, 0, 2, 4.54, 4.92, 1.30, 107.1
2000, LG, 23, 0, 0, 7, 5, 5, 2, 1, 71.2, 40, 34, 314, 76, , 7, 29, 1, 3, 50, 0, 1, 4.27, 4.33, 1.47, 104.8
2001, LG, 24, 0, 0, 8, 2, 5, 4, 4, 107.2, 68, 62, 483, 109, , 10, 63, 6, 1, 77, 0, 3, 5.18, 4.50, 1.60, 88.5
2002, LG, 25, 0, 0, 19, 7, 5, 0, 0, 99.0, 39, 35, 412, 101, , 12, 23, 0, 3, 66, 0, 0, 3.18, 4.03, 1.25, 130.0
2005, LG, 28, 0, 0, 9, 4, 7, 0, 4, 55.0, 54, 49, 263, 88, , 11, 10, 3, 4, 37, 0, 0, 8.02, 4.87, 1.78, 51.9
2006, LG, 29, 0, 0, 0, 2, 4, 6, 6, 61.2, 26, 25, 272, 65, , 4, 25, 3, 5, 43, 0, 1, 3.65, 3.46, 1.46, 97.1
2007, LG, 30, 0, 0, 0, 7, 5, 1, 17, 88.1, 44, 42, 379, 103, , 3, 24, 1, 5, 43, 0, 3, 4.28, 3.25, 1.44, 90.8
2008, LG, 31, 0, 0, 0, 1, 2, 0, 0, 32.0, 25, 25, 150, 44, , 2, 17, 0, 1, 19, 1, 1, 7.03, 4.46, 1.91, 58.2
2009, LG, 32, 0, 0, 0, 0, 0, 0, 0, 4.1, 4, 4, 20, 7, , 3, 2, 0, 0, 1, 0, 0, 8.31, 13.11, 2.08, 57.4
