year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 두산, 23, 0, 0, 1, 0, 1, 0, 0, 5.1, 10, 10, 29, 11, , 3, 2, 0, 0, 6, 0, 0, 16.88, 9.14, 2.44, 24.8
2005, 두산, 24, 0, 0, 3, 8, 3, 2, 8, 82.1, 30, 29, 332, 71, , 4, 24, 0, 5, 60, 1, 3, 3.17, 3.25, 1.15, 130.6
2006, 두산, 25, 0, 0, 0, 0, 0, 0, 1, 19.2, 10, 10, 90, 20, , 2, 11, 0, 1, 10, 0, 1, 4.58, 4.84, 1.58, 78.2
2009, 두산, 28, 0, 0, 2, 0, 2, 0, 0, 18.0, 21, 19, 88, 29, , 3, 7, 0, 1, 7, 0, 1, 9.50, 5.91, 2.00, 50.0
2010, 두산, 29, 0, 0, 4, 2, 2, 0, 0, 19.1, 13, 12, 85, 21, , 2, 5, 0, 2, 9, 0, 1, 5.59, 4.79, 1.35, 81.4
2011, 두산, 30, 0, 0, 6, 1, 5, 2, 4, 52.0, 38, 34, 231, 66, , 4, 20, 1, 1, 29, 0, 0, 5.88, 4.23, 1.65, 69.6
2012, 롯데, 31, 0, 0, 0, 3, 4, 2, 14, 53.1, 20, 19, 223, 46, , 2, 20, 3, 4, 33, 0, 0, 3.21, 3.54, 1.24, 119.5
2013, 롯데, 32, 0, 0, 0, 2, 4, 31, 4, 59.0, 20, 20, 241, 45, , 1, 21, 0, 3, 58, 0, 4, 3.05, 2.82, 1.12, 143.2
2014, 롯데, 33, 0, 0, 0, 1, 0, 4, 11, 40.2, 28, 27, 199, 54, 1, 7, 22, 2, 2, 32, 0, 2, 5.98, 6.14, 1.87, 91.2
2015, 롯데, 34, 0, 0, 0, 2, 3, 1, 5, 39.2, 34, 34, 188, 51, 0, 2, 19, 3, 2, 33, 1, 0, 7.71, 3.97, 1.77, 65.3
2016, 롯데,두산, 35, 0, 0, 0, 0, 1, 1, 5, 37.1, 26, 25, 184, 59, 1, 5, 19, 0, 2, 27, 0, 1, 6.03, 5.77, 2.09, 85.6
, 롯데, 35, 0, 0, 0, 0, 0, 0, 1, 15.1, 15, 15, 88, 30, 0, 2, 14, 0, 1, 15, 0, 0, 8.80, 6.47, 2.87, 59.4
, 두산, 35, 0, 0, 0, 0, 1, 1, 4, 22.0, 11, 10, 96, 29, 1, 3, 5, 0, 1, 12, 0, 1, 4.09, 5.29, 1.55, 124.9
2017, 두산, 36, 0, 0, 0, 2, 1, 1, 4, 44.0, 26, 26, 192, 47, 1, 8, 9, 0, 6, 33, 0, 0, 5.32, 5.62, 1.27, 90.5
