year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 현대, 20, 0, 0, 2, 1, 0, 0, 0, 33.2, 13, 13, 143, 30, , 3, 15, 0, 1, 18, 0, 0, 3.48, 4.35, 1.34, 114.8
2008, 히어로즈, 21, 0, 0, 1, 1, 2, 0, 0, 23.0, 22, 18, 117, 39, , 1, 11, 0, 1, 12, 0, 1, 7.04, 4.24, 2.17, 60.2
2009, 히어로즈, 22, 0, 0, 6, 1, 3, 0, 0, 47.0, 36, 31, 220, 54, , 4, 28, 3, 3, 37, 0, 6, 5.94, 4.51, 1.75, 81.3
2011, 넥센, 24, 0, 0, 5, 2, 2, 0, 0, 22.2, 17, 15, 111, 27, , 1, 15, 0, 5, 10, 0, 1, 5.96, 5.53, 1.85, 69.0
2012, 넥센, 25, 0, 0, 20, 5, 9, 0, 0, 121.0, 68, 63, 554, 143, , 9, 70, 0, 3, 90, 0, 5, 4.69, 4.39, 1.76, 81.8
2013, 넥센, 26, 0, 0, 19, 5, 5, 0, 0, 101.1, 62, 58, 455, 119, , 7, 48, 0, 3, 55, 0, 3, 5.15, 4.67, 1.65, 84.6
2014, 넥센, 27, 0, 0, 1, 5, 2, 0, 2, 45.0, 43, 40, 220, 62, 1, 3, 29, 0, 5, 33, 0, 4, 8.00, 5.52, 2.02, 65.9
2015, 넥센, 28, 1, 1, 4, 4, 5, 0, 6, 90.1, 47, 44, 389, 90, 3, 14, 28, 0, 7, 85, 0, 6, 4.38, 4.91, 1.31, 113.5
2016, 넥센, 29, 0, 0, 0, 2, 0, 36, 0, 62.1, 19, 18, 254, 66, 2, 2, 7, 0, 0, 50, 0, 4, 2.60, 2.94, 1.17, 202.1
2017, 넥센,KIA, 30, 0, 0, 0, 1, 5, 18, 7, 50.0, 31, 30, 230, 65, 1, 4, 15, 2, 2, 47, 0, 3, 5.40, 3.80, 1.60, 92.1
, 넥센, 30, 0, 0, 0, 1, 3, 10, 7, 29.0, 22, 22, 138, 42, 1, 2, 11, 0, 1, 26, 0, 2, 6.83, 4.08, 1.83, 72.8
, KIA, 30, 0, 0, 0, 0, 2, 8, 0, 21.0, 9, 8, 92, 23, 0, 2, 4, 2, 1, 21, 0, 1, 3.43, 3.40, 1.29, 144.9
2018, KIA, 31, 0, 0, 0, 1, 6, 4, 0, 40.0, 32, 30, 191, 56, 2, 4, 17, 4, 2, 32, 0, 1, 6.75, 4.66, 1.83, 76.0
2019, KIA, 32, 0, 0, 0, 0, 2, 0, 0, 8.2, 8, 6, 48, 11, 0, 0, 9, 1, 2, 5, 0, 0, 6.23, 5.71, 2.31, 67.7
2020, SK, 33, 0, 0, 0, 2, 0, 1, 7, 42.0, 28, 27, 187, 44, 0, 7, 22, 0, 1, 35, 0, 1, 5.79, 5.70, 1.57, 83.4
2021, SSG, 34, 0, 0, 0, 0, 0, 0, 0, 4.1, 5, 5, 28, 9, 0, 0, 7, 1, 0, 5, 1, 0, 10.38, 5.18, 3.69, 43.2
