year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, NC, 28, 0, 0, 0, 1, 2, 2, 0, 34.0, 20, 18, 149, 32, , 5, 17, 0, 2, 28, 0, 6, 4.76, 5.29, 1.44, 90.2
2014, NC, 29, 0, 0, 0, 3, 3, 25, 1, 48.1, 25, 22, 211, 40, 1, 4, 26, 0, 2, 52, 0, 1, 4.10, 4.52, 1.37, 127.0
2015, NC, 30, 0, 0, 0, 3, 4, 5, 12, 66.0, 35, 33, 271, 59, 1, 14, 18, 0, 1, 70, 0, 2, 4.50, 5.12, 1.17, 106.5
2016, NC, 31, 0, 0, 0, 6, 8, 1, 14, 84.1, 44, 42, 347, 79, 3, 15, 16, 0, 2, 100, 1, 8, 4.48, 4.37, 1.13, 113.6
2017, NC, 32, 0, 0, 0, 10, 6, 0, 15, 89.2, 38, 36, 361, 72, 0, 13, 27, 3, 2, 98, 0, 11, 3.61, 4.30, 1.10, 137.4
2018, NC, 33, 0, 0, 0, 3, 2, 0, 5, 45.1, 38, 36, 207, 56, 4, 13, 19, 1, 2, 38, 1, 3, 7.15, 7.21, 1.65, 72.6
2019, NC, 34, 0, 0, 0, 1, 2, 0, 5, 42.0, 25, 20, 178, 39, 1, 6, 15, 1, 2, 35, 1, 6, 4.29, 4.74, 1.29, 98.9
2020, NC, 35, 0, 0, 0, 3, 0, 0, 6, 47.1, 16, 14, 190, 41, 2, 4, 10, 1, 0, 56, 0, 2, 2.66, 2.86, 1.08, 183.5
2021, NC, 36, 0, 0, 0, 2, 4, 1, 9, 37.2, 34, 30, 174, 43, 0, 7, 18, 3, 1, 37, 0, 2, 7.17, 5.06, 1.62, 63.3
2022, LG, 37, 0, 0, 0, 1, 1, 0, 2, 16.2, 10, 9, 76, 22, 1, 2, 5, 0, 0, 17, 0, 2, 4.86, 3.64, 1.62, 73.4
