year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, KIA, 19, 4, 1, 29, 12, 11, 0, 0, 188.0, 94, 85, 818, 201, , 20, 67, 1, 11, 177, 1, 14, 4.07, 3.73, 1.43, 104.6
2003, KIA, 20, 4, 2, 24, 11, 5, 0, 0, 169.1, 68, 65, 707, 150, , 9, 63, 1, 12, 146, 0, 10, 3.45, 3.04, 1.26, 123.9
2004, KIA, 21, 0, 0, 7, 7, 2, 1, 0, 63.0, 23, 20, 269, 49, , 2, 33, 2, 3, 57, 1, 3, 2.86, 3.17, 1.30, 152.8
2005, KIA, 22, 6, 1, 23, 6, 10, 1, 0, 145.0, 71, 63, 623, 126, , 10, 61, 1, 12, 123, 1, 10, 3.91, 3.71, 1.29, 108.7
2006, KIA, 23, 0, 0, 19, 10, 4, 0, 0, 117.0, 38, 35, 489, 94, , 3, 51, 1, 12, 65, 0, 8, 2.69, 3.51, 1.24, 134.6
2007, KIA, 24, 0, 0, 5, 1, 2, 0, 0, 18.1, 19, 17, 95, 14, , 0, 23, 0, 6, 17, 0, 4, 8.35, 5.72, 2.02, 47.1
2011, KIA, 28, 0, 0, 0, 0, 1, 2, 0, 8.2, 5, 5, 41, 6, , 0, 7, 0, 1, 12, 0, 0, 5.19, 3.19, 1.50, 79.6
2012, KIA, 29, 2, 1, 22, 10, 5, 0, 0, 133.2, 47, 43, 558, 110, , 2, 50, 0, 10, 101, 1, 5, 2.90, 3.13, 1.20, 130.5
2013, KIA, 30, 0, 0, 21, 9, 10, 1, 0, 126.1, 77, 70, 577, 147, , 8, 49, 0, 13, 130, 1, 13, 4.99, 3.59, 1.55, 86.1
2014, KIA, 31, 0, 0, 13, 3, 4, 1, 1, 90.2, 66, 60, 429, 100, 2, 8, 61, 0, 7, 85, 0, 10, 5.96, 5.38, 1.78, 87.6
2015, KIA, 32, 0, 0, 2, 1, 0, 0, 1, 13.0, 5, 5, 55, 12, 0, 1, 9, 0, 1, 12, 0, 0, 3.46, 5.08, 1.62, 142.5
2016, KIA, 33, 0, 0, 0, 2, 1, 0, 2, 15.0, 8, 8, 65, 16, 0, 3, 5, 1, 2, 10, 0, 2, 4.80, 6.26, 1.40, 107.9
2017, KIA, 34, 0, 0, 8, 2, 6, 0, 0, 36.1, 33, 32, 183, 52, 0, 5, 23, 2, 7, 21, 0, 5, 7.93, 6.68, 2.06, 62.7
