year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1984, OB, 24, 5, 1, 19, 6, 11, 2, 0, 118.0, 53, 40, 508, 107, , 5, 58, 4, 10, 43, 1, 3, 3.05, 3.59, 1.40, 110.1
1985, OB, 25, 4, 2, 22, 10, 8, 0, 0, 143.0, 56, 48, 605, 134, , 7, 55, 0, 10, 57, 1, 4, 3.02, 3.42, 1.32, 118.0
1986, OB, 26, 1, 0, 7, 4, 6, 3, 0, 81.2, 43, 37, 357, 81, , 4, 41, 1, 3, 41, 0, 2, 4.08, 3.29, 1.49, 72.9
1987, OB, 27, 7, 2, 12, 4, 7, 6, 0, 150.1, 49, 43, 601, 120, , 3, 58, 2, 3, 81, 1, 1, 2.57, 2.83, 1.18, 133.5
1988, OB, 28, 5, 2, 14, 11, 8, 2, 0, 139.1, 52, 48, 559, 116, , 6, 45, 2, 8, 73, 2, 4, 3.10, 3.19, 1.16, 121.3
1989, OB, 29, 8, 4, 22, 11, 9, 3, 0, 158.1, 63, 59, 649, 130, , 7, 59, 2, 12, 95, 1, 6, 3.35, 3.28, 1.19, 109.2
1990, OB, 30, 1, 0, 14, 2, 12, 0, 0, 78.1, 63, 58, 356, 90, , 6, 35, 0, 7, 38, 0, 3, 6.66, 4.20, 1.60, 56.3
1991, OB, 31, 1, 1, 9, 2, 6, 0, 0, 35.1, 25, 23, 162, 39, , 2, 20, 1, 3, 13, 0, 1, 5.86, 4.56, 1.67, 66.0
1992, OB, 32, 1, 0, 15, 3, 4, 0, 0, 69.2, 38, 35, 302, 68, , 5, 29, 3, 4, 48, 0, 4, 4.52, 3.63, 1.39, 91.8
1993, 쌍방울, 33, 0, 0, 0, 0, 0, 0, 0, 17.1, 17, 14, 83, 25, , 3, 7, 0, 2, 6, 0, 0, 7.27, 5.58, 1.85, 45.0
